DateTime,Entries,UniqueIPs
1440030548,46214,46535
1440031453,46214,46535
1440031453,46214,46535
1440033615,46304,46619
1440036402,46446,46760
1440040002,46615,46924
1440043592,46919,47235
1440047194,47079,47399
1440050795,47385,47707
1440054393,47596,47916
1440057997,48130,48455
1440061596,48364,48692
1440065198,48751,49087
1440068804,49089,49424
1440072392,48376,48709
1440075969,49731,50123
1440079602,50256,50653
1440083198,50711,51120
1440090399,51646,52065
1440093995,51991,52413
1440101195,52709,53138
1440108396,53982,54418
1440122805,51544,51931
1440126394,51686,52076
1440137197,52017,52401
1440151607,37030,37405
1440155202,36550,36923
1440155202,36550,36923
1440162398,36170,36543
1440169593,37172,37556
1440176798,38049,38445
1440180392,38564,38968
1440183994,38820,39225
1440187593,39054,39469
1440191197,39315,39734
1440198404,39672,40104
1440209201,23364,23717
1440212791,23304,23662
1440216397,23328,23678
1440230802,23723,24063
1440241606,23644,23983
1440245194,23586,23924
1440248798,24089,24438
1440256001,24963,25318
1440266798,25848,26217
1440270389,25975,26348
1440273996,26141,26528
1440284794,26436,26832
1440295593,20100,20361
1440331611,19088,19353
1440371213,22434,22748
1440381999,18982,19257
1440389199,18918,19193
1440392792,18931,19204
1440399997,18991,19264
1440403594,19031,19312
1440407198,19465,19748
1440410797,19480,19763
1440414397,19306,19589
1440425210,20125,20420
1440432397,20528,20837
1440435990,21006,21323
1440439599,21527,21850
1440446797,22597,22934
1440450393,22969,23308
1440457596,23514,23858
1440464796,20647,20942
1440468409,20826,21121
1440472006,21029,21327
1440475599,21123,21436
1440482795,21319,21635
1440486401,21718,22035
1440489995,21989,22307
1440493603,22330,22645
1440497199,22680,22997
1440504398,23224,23535
1440507995,23386,23674
1440515203,24160,24462
1440518791,24502,24807
1440525996,25295,25606
1440529598,25663,25978
1440533194,25990,26306
1440540397,26606,26927
1440554813,23167,23446
1440558398,23065,23346
1440561997,23075,23354
1440569192,22914,23197
1440576402,22790,23073
1440590812,23354,23641
1440594394,23598,23891
1440597998,24393,24713
1440601598,25011,25337
1440608800,26102,26440
1440612395,26439,26782
1440619597,27064,27418
1440626793,27546,27905
1440630386,27688,28051
1440633998,23677,23983
1440641203,23443,23744
1440659204,24103,24386
1440659204,24103,24386
1440673624,40683,40983
1440677198,41035,41332
1440691625,52078,52406
1440702416,55790,56145
1440720418,58947,59275
1440731203,58821,59142
1440738399,58655,58971
1440745597,58999,59322
1440749200,58884,59213
1440752797,58970,59302
1440759995,58310,58642
1440774407,59133,59489
1440777995,59278,59635
1440781591,59458,59817
1440785195,59652,60017
1440788787,59831,60208
1440799606,60655,61046
1440810394,56040,56351
1440814009,56054,56363
1440824800,56380,56694
1440828393,56301,56635
1440842804,42333,42672
1440846394,39981,40302
1440849997,39128,39450
1440857196,39435,39761
1440864395,40438,40774
1440871598,41234,41576
1440875193,41464,41818
1440885996,41911,42277
1440896793,18387,18671
1440900404,18273,18557
1440903997,18338,18621
1440907587,18331,18615
1440911183,18367,18659
1440918392,18170,18462
1440925593,18407,18700
1440932799,18609,18901
1440939996,18193,18485
1440950798,19858,20159
1440954396,20199,20502
1440968795,21209,21526
1440976002,21472,21793
1440979593,19227,19499
1441001213,19481,19756
1441004803,19435,19691
1441019210,20177,20435
1441026405,20405,20666
1441030005,20777,21042
1441037211,21554,21833
1441044399,22262,22553
1441051598,22838,23136
1441055197,23032,23333
1441065995,19206,19432
1441069665,19108,19330
1441073270,19026,19239
1441076801,18916,19127
1441087758,18495,18703
1441102006,17477,17680
1441105602,16960,17157
1441109176,16701,16894
1441112791,16126,16317
1441120021,16152,16346
1441123566,16159,16353
1441134391,16199,16395
1441137996,16204,16400
1441141598,16212,16408
1441145175,16219,16415
1441148791,16221,16416
1441156035,11654,11775
1441159578,11471,11590
1441163213,11257,11376
1441170379,10657,10767
1441177573,9684,9779
1441181172,9221,9313
1441191986,6813,6902
1441210000,5988,6065
1441213588,6008,6086
1441220779,6021,6099
1441227997,6052,6135
1441235168,6086,6168
1441249588,875,901
1441260371,843,869
1441263970,839,865
1441267572,841,867
1441278380,814,846
1441289189,893,928
1441292791,929,966
1441296387,973,1013
1441299976,1008,1048
1441303585,1053,1093
1441310778,1111,1154
1441317968,1162,1209
1441325168,974,1010
1441328798,983,1018
1441343186,1037,1073
1441346769,1049,1085
1441361188,1128,1170
1441368387,1123,1162
1441372012,1080,1119
1441386391,1171,1214
1441400787,1292,1342
1441404399,1305,1355
1441407985,1325,1377
1441411574,1169,1205
1441426141,1199,1235
1441433269,1223,1260
1441443972,1262,1303
1441451166,1220,1257
1441454791,1233,1270
1441458375,1204,1241
1441465592,1271,1312
1441480941,1406,1452
1441483581,1437,1485
1441490782,1478,1526
1441494382,1482,1530
1441497972,1159,1193
1441501667,1150,1184
1441512376,1130,1164
1441551979,853,882
1441555575,1142,1177
1441559218,1156,1191
1441562786,1194,1229
1441569990,1213,1248
1441580790,1303,1340
1441588169,1033,1052
1441595400,1056,1075
1441602463,1052,1071
1441620393,1072,1092
1441667415,1542,1574
1441681588,1274,1295
1441685175,1290,1311
1441692376,1305,1326
1441695971,1357,1385
1441699566,1374,1403
1441717590,1534,1567
1441721188,1583,1616
1441735895,1777,1822
1441742797,1831,1878
1441747072,1907,1959
1441753586,1987,2041
1441757170,1540,1585
1441760799,1554,1600
1441771587,1567,1612
1441782382,1591,1635
1441789584,1616,1661
1441793192,1633,1681
1441800396,1588,1633
1441803982,1577,1621
1441818402,1697,1742
1441822008,1726,1771
1441832796,1795,1842
1441836665,1942,2005
1441840000,1953,2016
1441843572,1539,1577
1441861583,1589,1633
1441865166,1609,1653
1441879592,1638,1678
1441883219,1657,1696
1441886779,1645,1686
1441901199,1733,1776
1441904777,1748,1791
1441911999,1889,1942
1441919210,1935,1989
1441922773,1967,2020
1441926393,1986,2039
1441929971,1523,1564
1441958795,1641,1679
1441962383,1666,1704
1441965986,1676,1713
1441969569,1734,1777
1441983985,1885,1933
1441987586,1932,1981
1442001984,2080,2141
1442012860,2223,2294
1442016396,1844,1889
1442027364,1841,1884
1442030841,1844,1887
1442041668,1903,1953
1442055985,1896,1947
1442059577,1897,1948
1442063167,1898,1951
1442073988,1992,2049
1442081171,2069,2126
1442084768,2107,2164
1442088410,2124,2181
1442091966,2205,2277
1442095570,2223,2295
1442099166,2251,2323
1442102773,1890,1947
1442106390,1903,1960
1442109976,1914,1972
1442117164,1896,1954
1442124379,1915,1971
1442135183,1891,1945
1442138783,1890,1943
1442156838,1868,1917
1442160720,1889,1938
1442167597,2024,2101
1442174810,2074,2151
1442185581,2159,2240
1442189172,1708,1769
1442196375,1705,1765
1442207175,1699,1757
1442210785,1711,1770
1442214371,1649,1706
1442221572,1660,1719
1442225180,1707,1766
1442228780,1744,1803
1442232383,1814,1882
1442235978,1801,1869
1442239578,1848,1918
1442246798,1935,2007
1442250406,1990,2069
1442257591,2141,2229
1442268380,2299,2395
1442271967,2337,2433
1442279184,2001,2067
1442286387,1991,2056
1442293576,2007,2072
1442300780,2014,2079
1442304367,2040,2105
1442318790,2105,2174
1442322382,2112,2181
1442333187,2341,2433
1442336791,2378,2470
1442340414,2428,2522
1442344004,2479,2574
