DateTime,AddedIPs,RemovedIPs
1440033616,191,436
1440036403,235,658
1440040003,302,253
1440043592,345,285
1440047195,242,307
1440050795,379,376
1440054394,357,402
1440057998,608,360
1440061597,373,401
1440065198,502,733
1440068804,482,543
1440072393,3,627
1440075970,1379,695
1440079603,397,726
1440083199,340,737
1440090400,705,869
1440093996,258,265
1440101196,503,428
1440108396,1063,374
1440122806,559,572
1440126394,228,239
1440137198,733,637
1440151608,1790,1091
1440155202,477,293
1440162399,451,645
1440169593,786,972
1440176799,671,1066
1440180393,390,359
1440183995,192,351
1440187594,182,635
1440191197,197,313
1440198405,239,703
1440209202,439,682
1440212792,215,298
1440216398,271,225
1440230802,1587,895
1440241607,1384,895
1440245194,276,311
1440248799,386,320
1440256002,732,784
1440266799,690,1445
1440270390,91,320
1440273997,122,321
1440284794,209,697
1440295594,223,641
1440331611,2670,13731
1440371214,2844,8295
1440381999,571,566
1440389200,291,477
1440392793,225,262
1440399997,876,789
1440403595,294,774
1440407199,633,786
1440410798,531,391
1440414397,407,436
1440425210,1183,1703
1440432397,288,1199
1440435991,392,258
1440439599,372,199
1440446797,851,310
1440450393,283,138
1440457597,425,355
1440464797,437,239
1440468410,229,237
1440472007,257,231
1440475600,210,279
1440482795,481,520
1440486401,536,453
1440489996,446,338
1440493604,552,555
1440497199,573,344
1440504399,1254,1138
1440507995,397,575
1440515204,649,817
1440518791,288,434
1440525997,654,839
1440529598,311,468
1440533195,266,315
1440540398,508,230
1440554813,555,382
1440558399,130,134
1440561997,145,227
1440569193,203,565
1440576402,742,707
1440590813,2410,1645
1440594395,495,495
1440597999,671,651
1440601599,561,522
1440608800,923,847
1440612396,279,414
1440619597,493,765
1440626794,405,495
1440630386,125,158
1440633998,143,119
1440641204,345,196
1440659205,1790,883
1440673625,9152,1532
1440677198,771,317
1440691625,7480,2744
1440702416,2633,1219
1440720418,5713,1487
1440731204,350,358
1440738400,127,410
1440745597,458,429
1440749201,346,534
1440752797,340,356
1440759996,553,957
1440774407,1622,2378
1440777996,112,712
1440781592,136,889
1440785196,148,499
1440788788,150,394
1440799606,662,852
1440810395,392,890
1440814010,185,166
1440824801,898,679
1440828393,372,207
1440842805,1714,1454
1440846395,546,823
1440849998,326,612
1440857197,837,1641
1440864395,857,1497
1440871598,662,1538
1440875194,191,637
1440885997,367,1058
1440896794,184,436
1440900405,73,137
1440903997,129,158
1440907588,120,304
1440911183,108,206
1440918393,255,439
1440925593,818,609
1440932799,745,827
1440939996,1014,1047
1440950799,1363,1989
1440954396,266,777
1440968795,790,2344
1440976002,210,721
1440979593,121,262
1441001214,1518,4262
1441004803,308,4180
1441019210,1895,6722
1441026405,843,1250
1441030006,263,400
1441037212,592,961
1441044400,562,1268
1441051599,432,6695
1441055197,151,718
1441065996,14,577
1441069665,2,167
1441073271,12,259
1441076801,1,221
1441087758,3,281
1441102006,90,1060
1441105603,9,433
1441109176,48,469
1441112791,29,294
1441120021,25,684
1441123567,7,427
1441134392,57,1030
1441137997,14,321
1441141599,11,242
1441145176,9,273
1441148791,15,203
1441156036,11,426
1441159579,7,196
1441163214,0,250
1441170380,9,394
1441177573,12,370
1441181173,3,361
1441191987,94,396
1441210000,113,1644
1441213588,15,306
1441220780,21,531
1441227997,25,462
1441235169,31,390
1441238771,6,165
1441249588,5,470
1441260372,9,869
1441263970,2,241
1441267572,4,294
1441278381,100,1108
1441289189,82,1037
1441292792,29,194
1441296387,33,411
1441299976,25,438
1441303586,33,447
1441310778,51,655
1441317969,45,511
1441325168,21,328
1441328798,21,185
1441343186,63,780
1441346769,21,226
1441361188,91,9588
1441368387,80,2063
1441372013,15,867
1441386391,99,9252
1441400787,123,6513
1441404399,7,588
1441407986,17,366
1441411575,17,169
1441426141,44,711
1441433270,23,480
1441443973,43,1156
1441451167,37,563
1441454792,28,365
1441458375,25,507
1441465592,59,1736
1441480941,112,2465
1441483581,23,237
1441490782,27,472
1441494383,7,201
1441497973,17,365
1441501668,0,357
1441512376,0,444
