DateTime,Entries,UniqueIPs
1440030549,328914,336051
1440031454,328914,336051
1440031454,328914,336051
1440033616,328661,335806
1440036403,328237,335383
1440040003,328289,335432
1440043592,328365,335492
1440047195,328291,335427
1440050795,328291,335430
1440054394,328237,335385
1440057998,328469,335633
1440061597,328449,335605
1440065198,328213,335374
1440068804,328162,335313
1440072393,327555,334689
1440075970,328182,335373
1440079603,327860,335044
1440083199,327484,334647
1440090400,327316,334483
1440093996,327317,334476
1440101196,327393,334551
1440108396,328090,335240
1440122806,328071,335227
1440126394,328047,335216
1440137198,328118,335312
1440151608,328807,336011
1440155202,328976,336195
1440155202,328976,336195
1440162399,328778,336001
1440169593,328600,335815
1440176799,328236,335420
1440180393,328258,335451
1440183995,328099,335292
1440187594,327648,334839
1440191197,327534,334723
1440198405,327082,334259
1440209202,326843,334016
1440212792,326760,333933
1440216398,326803,333979
1440230802,327494,334671
1440241607,327966,335160
1440245194,327933,335125
1440248799,327995,335191
1440256002,327932,335139
1440266799,327210,334384
1440270390,326982,334155
1440273997,326783,333956
1440284794,326318,333468
1440295594,325927,333050
1440331611,314936,321989
1440371214,309565,316538
1440381999,309572,316543
1440389200,309388,316357
1440392793,309354,316320
1440399997,309421,316407
1440403595,308933,315927
1440407199,308777,315774
1440410798,308913,315914
1440414397,308889,315885
1440425210,308377,315365
1440432397,307486,314454
1440435991,307608,314588
1440439599,307772,314761
1440446797,308298,315302
1440450393,308447,315447
1440457597,308568,315517
1440464797,308766,315715
1440468410,308752,315707
1440472007,308775,315733
1440475600,308693,315664
1440482795,308658,315625
1440486401,308737,315708
1440489996,308832,315816
1440493604,308834,315813
1440497199,309050,316042
1440504399,309159,316158
1440507995,308987,315980
1440515204,308815,315812
1440518791,308675,315666
1440525997,308492,315481
1440529598,308340,315324
1440533195,308295,315275
1440540398,308576,315553
1440554813,308747,315726
1440558399,308744,315722
1440561997,308667,315640
1440569193,308315,315278
1440576402,308356,315313
1440590813,309093,316078
1440594395,309090,316078
1440597999,309108,316098
1440601599,309141,316137
1440608800,309232,316213
1440612396,309094,316078
1440619597,308826,315806
1440626794,308731,315716
1440630386,308704,315683
1440633998,308732,315707
1440641204,308874,315856
1440659205,309776,316763
1440659205,309776,316763
1440673625,317373,324383
1440677198,317829,324837
1440691625,322559,329573
1440702416,323953,330987
1440720418,328174,335213
1440731204,328167,335205
1440738400,327889,334922
1440745597,327929,334951
1440749201,327739,334763
1440752797,327718,334747
1440759996,327318,334343
1440774407,326576,333587
1440777996,325995,332987
1440781592,325257,332234
1440785196,324914,331883
1440788788,324666,331639
1440799606,324486,331449
1440810395,324037,330951
1440814010,324056,330970
1440824801,324277,331189
1440828393,324445,331354
1440842805,324706,331614
1440846395,324427,331337
1440849998,324138,331051
1440857197,323372,330247
1440864395,322732,329607
1440871598,321876,328731
1440875194,321446,328285
1440885997,320756,327594
1440896794,320514,327342
1440900405,320450,327278
1440903997,320421,327249
1440907588,320241,327065
1440911183,320156,326967
1440918393,319972,326783
1440925593,320167,326992
1440932799,320094,326910
1440939996,320066,326877
1440950799,319481,326251
1440954396,318995,325740
1440968795,317474,324186
1440976002,316972,323675
1440979593,316865,323534
1441001214,314164,320790
1441004803,310312,316918
1441019210,305520,312091
1441026405,305105,311684
1441030006,304973,311547
1441037212,304612,311178
1441044400,303927,310472
1441051599,297705,304209
1441055197,297140,303642
1441065996,296595,303079
1441069665,296438,302914
1441073271,296208,302667
1441076801,295991,302447
1441087758,295733,302169
1441102006,294795,301199
1441105603,294389,300775
1441109176,293988,300354
1441112791,293721,300089
1441120021,293081,299430
1441123567,292682,299010
1441134392,291726,298037
1441137997,291441,297730
1441141599,291227,297499
1441145176,290975,297235
1441148791,290792,297047
1441156036,290401,296632
1441159579,290222,296443
1441163214,289982,296193
1441170380,289616,295808
1441177573,289271,295450
1441181173,288924,295092
1441191987,288667,294790
1441210000,287208,293259
1441213588,286942,292968
1441220780,286454,292458
1441227997,286029,292021
1441235169,285678,291662
1441238771,285524,291503
1441249588,285077,291038
1441260372,284243,290178
1441263970,284013,289939
1441267572,283731,289649
1441278381,282762,288641
1441289189,281831,287686
1441292792,281674,287521
1441296387,281310,287143
1441299976,280915,286730
1441303586,280517,286316
1441310778,279952,285712
1441317969,279507,285246
1441325168,279214,284939
1441328798,279061,284775
1441343186,278374,284058
1441346769,278171,283853
1441361188,268777,274356
1441368387,266813,272373
1441372013,265983,271521
1441386391,256928,262368
1441400787,250591,255978
1441404399,250021,255397
1441407986,249677,255048
1441411575,249525,254896
1441426141,248887,254229
1441433270,248476,253772
1441443973,247397,252659
1441451167,246890,252133
1441454792,246557,251796
1441458375,246090,251314
1441465592,244454,249637
1441480941,242147,247284
1441483581,241939,247070
1441490782,241511,246625
1441494383,241324,246431
1441497973,240984,246083
1441501668,240635,245726
1441512376,240204,245282
1441551980,234997,239924
1441555575,234498,239435
1441559218,234020,238941
1441562786,233781,238697
1441569991,233166,238070
1441580790,232606,237473
1441588170,232338,237185
1441595401,232011,236838
1441602463,231493,236301
1441620394,230087,234855
1441667415,225424,230058
1441681589,224812,229420
1441685175,224700,229305
1441692376,224415,229005
1441695972,224277,228861
1441699567,224090,228670
1441717591,222742,227244
1441721188,222425,226921
1441735895,221247,225711
1441742797,220666,225105
1441747073,220507,224948
1441753587,220230,224663
1441757171,220132,224560
1441760800,220009,224427
1441771587,219677,224074
1441782382,219391,223769
1441789585,218760,223107
1441793192,218344,222676
1441800397,217644,221944
1441803982,217316,221594
1441818402,216168,220401
1441822008,215877,220105
1441832797,215025,219242
1441836665,214911,219145
1441840001,214664,218887
1441843573,214538,218758
1441861584,213677,217890
1441865166,213484,217690
1441879592,212226,216386
1441883219,211666,215809
1441886779,211252,215387
1441901200,209960,214035
1441904777,209758,213819
1441912000,209285,213322
1441919211,208858,212886
1441922773,208667,212692
1441926394,208532,212555
