DateTime,Entries,UniqueIPs
1440030548,1420,1427
1440031453,1420,1427
1440031453,1420,1427
1440151607,1421,1428
1440155202,1421,1428
1440414397,1421,1428
1440425210,1422,1429
1440439599,1421,1428
1440464796,1422,1429
1440497198,1423,1430
1440590812,1424,1431
1440630386,1423,1430
1440659204,1423,1430
1440702416,1422,1429
1440720418,1423,1430
1440781591,1422,1429
1440896793,1423,1430
1440968795,1424,1431
1441019210,1425,1432
1441044399,1426,1433
1441123566,1425,1432
1441289189,1426,1433
1441465592,1427,1434
1441562786,1428,1435
1441667415,1429,1436
1441771587,1430,1437
1441789584,1429,1436
1441983985,1429,1436
1442239578,1427,1434
1442333187,1426,1433
1442397992,1427,1434
1442408809,1428,1435
1442419584,1430,1437
