DateTime,AddedIPs,RemovedIPs
1440033626,14,0
1440036413,8,1
1440040012,7,0
1440043603,7,0
1440047205,11,0
1440050805,10,0
1440054404,6,1
1440058007,6,0
1440061607,11,4
1440065208,5,1
1440068814,20,1
1440072403,10,0
1440075980,13,0
1440079613,10,1
1440083209,11,0
1440090409,18,2
1440094005,6,1
1440101206,8,3
1440108406,29,1
1440122816,19,1
1440126404,6,0
1440137208,19,1
1440151618,27,6
1440155212,18,0
1440162408,12,4
1440169603,11,1
1440176809,8,0
1440180402,8,0
1440184004,9,1
1440187604,3,0
1440191207,8,0
1440198415,8,1
1440209212,15,1
1440212801,4,0
1440216408,4,0
1440230812,23,0
1440241617,18,0
1440245204,7,0
1440248809,16,1
1440256011,13,0
1440266809,18,0
1440270400,6,0
1440274007,3,0
1440284805,14,0
1440295604,12,0
1440331621,59,0
1440371224,40,0
1440382009,11,3
1440389211,14,1
1440392802,4,0
1440400007,10,4
1440403605,1,1
1440407208,3,0
1440410807,4,1
1440414407,8,0
1440425220,40,9
1440432407,17,2
1440436000,19,0
1440439609,238,11
1440446808,323,5
1440450403,119,7
1440457606,193,1
1440464806,66,0
1440468421,127,6
1440472017,123,1
1440475610,88,0
1440482805,41,0
1440486411,10,1
1440490005,9,0
1440493614,8,0
1440497209,6,1
1440504408,25,3
1440508005,9,1
1440515214,14,0
1440518801,15,0
1440526007,10,0
1440529608,2,0
1440533205,13,3
1440540407,13,0
1440554824,28,1
1440558409,6,1
1440562007,7,0
1440569202,13,0
1440576412,17,0
1440590823,44,1
1440594406,8,1
1440598009,9,0
1440601609,15,0
1440608810,10,0
1440612405,5,2
1440619607,17,3
1440626804,16,2
1440630397,9,3
1440634008,5,0
1440641215,16,0
1440659215,38,0
1440673635,61,1
1440677208,22,1
1440691635,70,1
1440702426,46,2
1440720428,63,1
1440731214,34,0
1440738410,17,0
1440745607,10,0
1440749211,6,0
1440752807,6,1
1440760005,34,0
1440774417,31,7
1440778006,3,2
1440781601,3,1
1440785205,3,0
1440788798,1,0
1440799616,8,1
1440810405,11,2
1440814020,5,0
1440824812,11,0
1440828403,6,3
1440842814,45,3
1440846405,7,0
1440850008,8,0
1440857207,9,0
1440864406,14,1
1440871608,4,0
1440875204,9,0
1440886007,23,0
1440896804,12,0
1440900415,11,0
1440904008,3,0
1440907598,2,0
1440911193,5,0
1440918403,10,0
1440925603,6,0
1440932809,14,1
1440940007,9,0
1440950808,29,0
1440954406,6,0
1440968805,19,0
1440976014,9,0
1440979603,3,0
1441001225,36,3
1441004813,8,0
1441019220,51,5
1441026417,13,4
1441030015,9,1
1441037222,33,3
1441044410,12,1
1441051611,13,3
1441055207,3,0
1441066007,13,21
1441069677,1,0
1441076812,3,0
1441087769,16,0
1441102018,14,5
1441105614,3,0
1441109188,4,0
1441112803,6,3
1441120031,5,5
1441123577,6,4
1441134402,42,2
1441138006,2,0
1441141609,5,3
1441145187,6,0
1441148801,4,0
1441156048,11,2
1441159589,1,0
1441163224,3,0
1441170389,14,2
1441177583,16,2
1441181184,10,0
1441191997,11,4
1441210010,34,12
1441213598,6,0
1441220790,4,0
1441228007,3,2
1441235178,37,4
1441238781,2,2
1441249598,6,0
1441260381,8,0
1441263980,2,0
1441267582,2,0
1441278391,15,0
1441289199,28,2
1441292802,12,2
1441296397,15,0
1441299986,12,0
1441303596,4,1
1441310790,15,3
1441317979,7,0
1441325178,8,0
1441328809,17,0
1441343196,45,1
1441346779,2,0
1441361198,19,3
1441368397,1,2
1441372022,1,1
1441386402,31,6
1441400797,12,4
1441404409,5,0
1441407995,2,0
1441411585,3,0
1441426151,13,1
1441433279,10,0
1441443982,8,1
1441451176,5,0
1441454801,7,0
1441458385,3,0
1441465602,4,0
1441480951,12,0
1441483591,1,0
1441490792,8,0
1441494393,1,0
1441555585,5,0
1441559228,3,0
1441562796,7,0
1441570000,2,0
1441580800,2,0
1441588181,4,0
1441595412,4,0
1441602473,9,1
1441620403,16,1
1441667425,126,5
1441681599,42,0
1441685185,6,1
1441692386,9,1
1441695981,2,0
1441699577,6,2
1441717601,40,3
1441721198,2,4
1441735906,68,14
1441742807,14,1
1441747083,3,0
1441753596,4,0
1441757181,14,2
1441760811,35,0
1441771597,38,1
1441782392,12,1
1441789594,12,1
1441793202,11,1
1441800406,16,2
1441803992,22,0
1441818412,36,5
1441822018,15,0
1441832806,21,0
1441836675,3,0
1441840010,9,0
1441843582,11,0
1441861594,35,1
1441865176,6,0
1441879602,15,1
1441883229,8,0
1441886789,5,0
1441901210,34,6
1441904787,17,0
1441912010,30,1
1441919221,13,0
1441922783,8,1
1441926405,7,0
1441929981,18,1
1441958805,65,3
1441962393,1,1
1441965996,7,6
1441969579,13,0
1441983995,25,0
1441987596,8,6
1442001994,21,2
1442012870,21,1
1442016407,5,0
1442027374,12,2
1442030852,2,0
1442041678,5,1
1442055995,9,2
1442059587,3,0
1442063177,2,0
1442073998,21,1
1442081182,13,0
1442084779,2,0
1442088421,3,0
1442091976,3,0
1442095580,10,0
1442099176,6,0
1442102783,7,0
1442106401,2,0
1442109986,6,0
1442117175,10,0
1442124389,10,0
1442135195,19,0
1442138793,1,0
1442156849,19,0
1442160731,2,0
1442167608,6,0
1442174821,7,0
1442185592,7,0
1442189182,8,0
1442196386,16,1
1442207186,45,1
1442210795,2,0
1442214381,9,2
1442221582,10,1
1442225192,7,0
1442228791,10,0
1442232393,10,1
1442235989,5,2
1442239588,10,2
1442246808,26,1
1442250416,8,0
1442257602,16,1
1442268390,20,0
1442271978,2,0
1442279196,10,0
1442286397,25,2
1442293586,22,0
1442300790,28,1
1442304377,11,4
1442318800,103,7
1442322392,24,2
