DateTime,Entries,UniqueIPs
1440030561,5275413,5650285
1440031464,5275413,5650285
1440031464,5275413,5650285
1440033626,5275427,5650299
1440036413,5275434,5650306
1440040012,5275441,5650313
1440043603,5275447,5650320
1440047205,5275457,5650331
1440050805,5275467,5650341
1440054404,5275472,5650346
1440058007,5275477,5650352
1440061607,5275485,5650359
1440065208,5275489,5650363
1440068814,5275507,5650382
1440072403,5275517,5650392
1440075980,5275528,5650405
1440079613,5275537,5650414
1440083209,5275547,5650425
1440090409,5275563,5650441
1440094005,5275568,5650446
1440101206,5275574,5650451
1440108406,5275601,5650479
1440122816,5275619,5650497
1440126404,5275625,5650503
1440137208,5275643,5650521
1440151618,5275664,5650542
1440155212,5275681,5650560
1440155212,5275681,5650560
1440162408,5275689,5650568
1440169603,5275699,5650578
1440176809,5275707,5650586
1440180402,5275714,5650594
1440184004,5275721,5650602
1440187604,5275724,5650605
1440191207,5275732,5650613
1440198415,5275739,5650620
1440209212,5275752,5650634
1440212801,5275756,5650638
1440216408,5275760,5650642
1440230812,5275782,5650665
1440241617,5275798,5650683
1440245204,5275805,5650690
1440248809,5275819,5650705
1440256011,5275832,5650718
1440266809,5275849,5650736
1440270400,5275855,5650742
1440274007,5275858,5650745
1440284805,5275871,5650759
1440295604,5275882,5650771
1440331621,5275940,5650830
1440371224,5275980,5650870
1440382009,5275989,5650878
1440389211,5276001,5650891
1440392802,5276005,5650895
1440400007,5276012,5650901
1440403605,5276012,5650901
1440407208,5276015,5650904
1440410807,5276018,5650907
1440414407,5276026,5650915
1440425220,5276056,5650946
1440432407,5276071,5650961
1440436000,5276090,5650980
1440439609,5276308,5651207
1440446808,5276607,5651525
1440450403,5276717,5651637
1440457606,5276904,5651829
1440464806,5276967,5651895
1440468421,5277083,5652016
1440472017,5277202,5652138
1440475610,5277285,5652226
1440482805,5277324,5652267
1440486411,5277333,5652276
1440490005,5277342,5652285
1440493614,5277348,5652293
1440497209,5277353,5652298
1440504408,5277373,5652320
1440508005,5277381,5652328
1440515214,5277393,5652342
1440518801,5277408,5652357
1440526007,5277418,5652367
1440529608,5277420,5652369
1440533205,5277429,5652379
1440540407,5277440,5652392
1440554824,5277467,5652419
1440558409,5277472,5652424
1440562007,5277477,5652431
1440569202,5277488,5652444
1440576412,5277503,5652461
1440590823,5277546,5652504
1440594406,5277553,5652511
1440598009,5277561,5652520
1440601609,5277576,5652535
1440608810,5277586,5652545
1440612405,5277589,5652548
1440619607,5277603,5652562
1440626804,5277616,5652576
1440630397,5277623,5652582
1440634008,5277628,5652587
1440641215,5277644,5652603
1440659215,5277680,5652641
1440659215,5277680,5652641
1440673635,5277739,5652701
1440677208,5277760,5652722
1440691635,5277827,5652791
1440702426,5277869,5652835
1440720428,5277931,5652897
1440731214,5277965,5652931
1440738410,5277982,5652948
1440745607,5277991,5652958
1440749211,5277997,5652964
1440752807,5278002,5652969
1440760005,5278034,5653003
1440774417,5278058,5653027
1440778006,5278059,5653028
1440781601,5278061,5653030
1440785205,5278064,5653033
1440788798,5278065,5653034
1440799616,5278072,5653041
1440810405,5278080,5653050
1440814020,5278085,5653055
1440824812,5278096,5653066
1440828403,5278100,5653069
1440842814,5278140,5653111
1440846405,5278145,5653118
1440850008,5278153,5653126
1440857207,5278162,5653135
1440864406,5278175,5653148
1440871608,5278179,5653152
1440875204,5278188,5653161
1440886007,5278210,5653184
1440896804,5278222,5653196
1440900415,5278233,5653207
1440904008,5278236,5653210
1440907598,5278237,5653212
1440911193,5278242,5653217
1440918403,5278252,5653227
1440925603,5278258,5653233
1440932809,5278271,5653246
1440940007,5278278,5653255
1440950808,5278306,5653284
1440954406,5278312,5653290
1440968805,5278330,5653309
1440976014,5278339,5653318
1440979603,5278341,5653321
1441001225,5278374,5653354
1441004813,5278381,5653362
1441019220,5278425,5653408
1441026417,5278433,5653417
1441030015,5278441,5653425
1441037222,5278470,5653455
1441044410,5278481,5653466
1441051611,5278492,5653476
1441055207,5278495,5653479
1441066007,5278487,5653471
1441069677,5278488,5653472
1441076812,5278491,5653475
1441087769,5278506,5653491
1441102018,5278514,5653500
1441105614,5278517,5653503
1441109188,5278520,5653507
1441112803,5278522,5653510
1441120031,5278521,5653510
1441123577,5278524,5653512
1441134402,5278562,5653552
1441138006,5278563,5653554
1441141609,5278566,5653556
1441145187,5278572,5653562
1441148801,5278576,5653566
1441156048,5278584,5653575
1441159589,5278585,5653576
1441163224,5278588,5653579
1441170389,5278599,5653591
1441177583,5278610,5653605
1441181184,5278620,5653615
1441191997,5278628,5653622
1441210010,5278653,5653644
1441213598,5278659,5653650
1441220790,5278663,5653654
1441228007,5278664,5653655
1441235178,5278698,5653688
1441238781,5278698,5653688
1441249598,5278704,5653694
1441260381,5278712,5653702
1441263980,5278714,5653704
1441267582,5278716,5653706
1441278391,5278729,5653721
1441289199,5278755,5653747
1441292802,5278765,5653757
1441296397,5278779,5653772
1441299986,5278791,5653784
1441303596,5278794,5653787
1441310790,5278806,5653799
1441317979,5278810,5653806
1441325178,5278818,5653814
1441328809,5278835,5653831
1441343196,5278879,5653875
1441346779,5278881,5653877
1441361198,5278897,5653893
1441368397,5278896,5653892
1441372022,5278896,5653892
1441386402,5278921,5653917
1441400797,5278930,5653925
1441404409,5278935,5653930
1441407995,5278936,5653932
1441411585,5278939,5653935
1441426151,5278951,5653947
1441433279,5278961,5653957
1441443982,5278968,5653964
1441451176,5278973,5653969
1441454801,5278979,5653976
1441458385,5278982,5653979
1441465602,5278985,5653983
1441480951,5278997,5653995
1441483591,5278998,5653996
1441490792,5279006,5654004
1441494393,5279007,5654005
1441555585,5279012,5654010
1441559228,5279015,5654013
1441562796,5279022,5654020
1441570000,5279024,5654022
1441580800,5279026,5654024
1441588181,5279030,5654028
1441595412,5279034,5654032
1441602473,5279041,5654040
1441620403,5279055,5654055
1441667425,5279173,5654176
1441681599,5279213,5654218
1441685185,5279218,5654223
1441692386,5279226,5654231
1441695981,5279228,5654233
1441699577,5279232,5654237
1441717601,5279267,5654274
1441721198,5279265,5654272
1441735906,5279317,5654326
1441742807,5279330,5654339
1441747083,5279333,5654342
1441753596,5279336,5654346
1441757181,5279348,5654358
1441760811,5279381,5654393
1441771597,5279418,5654430
1441782392,5279429,5654441
1441789594,5279440,5654452
1441793202,5279450,5654462
1441800406,5279464,5654476
1441803992,5279486,5654498
1441818412,5279516,5654529
1441822018,5279531,5654544
1441832806,5279552,5654565
1441836675,5279555,5654568
1441840010,5279564,5654577
1441843582,5279574,5654588
1441861594,5279607,5654622
1441865176,5279613,5654628
1441879602,5279625,5654642
1441883229,5279633,5654650
1441886789,5279638,5654655
1441901210,5279664,5654683
1441904787,5279680,5654700
1441912010,5279709,5654729
1441919221,5279721,5654742
1441922783,5279728,5654749
1441926405,5279735,5654756
1441929981,5279752,5654773
1441958805,5279812,5654835
1441962393,5279812,5654835
1441965996,5279814,5654836
1441969579,5279827,5654849
1441983995,5279852,5654874
1441987596,5279860,5654876
1442001994,5279879,5654895
1442012870,5279899,5654915
1442016407,5279904,5654920
1442027374,5279914,5654930
1442030852,5279916,5654932
1442041678,5279920,5654936
1442055995,5279927,5654943
1442059587,5279930,5654946
1442063177,5279932,5654948
1442073998,5279952,5654968
1442081182,5279964,5654981
1442084779,5279966,5654983
1442088421,5279969,5654986
1442091976,5279972,5654989
1442095580,5279982,5654999
1442099176,5279988,5655005
1442102783,5279995,5655012
1442106401,5279997,5655014
1442109986,5280003,5655020
1442117175,5280012,5655030
1442124389,5280022,5655040
1442135195,5280039,5655059
1442138793,5280039,5655060
1442156849,5280058,5655079
1442160731,5280060,5655081
1442167608,5280066,5655087
1442174821,5280072,5655094
1442185592,5280078,5655101
1442189182,5280086,5655109
1442196386,5280101,5655124
1442207186,5280145,5655168
1442210795,5280147,5655170
1442214381,5280152,5655177
1442221582,5280161,5655186
1442225192,5280168,5655193
1442228791,5280177,5655203
1442232393,5280186,5655212
1442235989,5280189,5655215
1442239588,5280197,5655223
1442246808,5280222,5655248
1442250416,5280230,5655256
1442257602,5280245,5655271
1442268390,5280265,5655291
1442271978,5280267,5655293
1442279196,5280277,5655303
1442286397,5280300,5655326
