DateTime,Entries,UniqueIPs
1433515577,56,487424
1433515577,56,487424
1433515577,56,487424
1433515577,56,487424
1433515577,56,487424
1433515577,56,487424
1433515577,56,487424
1433515577,56,487424
1433515577,56,487424
1434806630,57,489472
1435247071,58,489216
1435412446,65,492544
1435841498,65,492544
1436439439,66,493056
1436792628,65,492544
1436858042,66,492800
1437250806,67,623872
1437408140,68,624128
1438448609,70,624640
1438839927,71,624896
1438839927,71,624896
1438839927,71,624896
1438839927,71,624896
1438839927,71,624896
1438839927,71,624896
1439827987,70,624896
1439945125,69,657664
1439945125,69,657664
1439945125,69,657664
1440962082,67,657152
1441376979,67,656896
1441566554,66,656640
