DateTime,AddedIPs,RemovedIPs
1439714730,1,0
1439716536,1,0
1439793927,1,0
1439878533,2,0
1439891129,1,0
1439909129,1,0
1439965831,1,0
1439967631,1,0
1439971231,1,0
1439998218,2,0
1440007222,1,0
1440016218,1,0
1440050420,1,0
1440061216,1,0
1440091819,1,0
1440106218,1,0
1440138619,2,0
1440147618,1,0
1440149417,1,0
1440160218,0,0
1440189019,1,0
1440203418,1,0
1440226819,1,0
1440230418,1,0
1440244816,1,0
1440246617,1,0
1440259218,1,0
1440277219,1,0
1440308720,1,0
1440312319,1,0
1440321334,1,0
1440324924,2,0
1440339322,1,0
1440342024,1,0
1440406824,2,0
1440412222,1,0
1440428427,1,0
1440500417,1,0
1440520219,1,0
1440527420,1,0
1440532819,1,0
1440568824,2,0
1440570619,2,0
1440577821,1,0
1440581419,1,0
1440608421,1,0
1440617419,1,0
1440628222,1,0
1440651627,2,0
1440653421,1,0
1440664219,1,0
1440669622,0,0
1440671421,1,0
1440675020,1,0
1440684018,1,0
1440696618,1,0
1440700221,1,0
1440712820,1,0
1440736222,2,0
1440738020,2,0
1440750631,1,0
1440757820,1,0
1440761421,1,0
1440765021,1,0
1440770420,2,0
1440792025,1,0
1440812719,1,0
1440834336,1,0
1440836129,1,0
1440845122,1,0
1440852320,1,0
1440854126,1,0
1440860423,1,0
1440862224,1,0
1440874824,1,0
1440878424,1,0
1440925222,2,0
1440990924,1,0
1440999022,1,0
1441004425,1,0
1441008023,3,0
1441011622,1,0
1441044020,1,0
1441096223,1,0
1441101645,1,0
1441103438,2,0
1441114225,1,0
1441130422,2,0
1441246525,1,0
1441257327,1,0
1441264525,2,0
1441316723,1,0
1441350925,1,0
1441352719,1,0
1441363520,2,0
1441385119,1,0
1441401322,1,0
1441420224,1,0
1441455324,2,0
1441469723,1,0
1441529124,1,0
1441536323,1,0
1441565123,1,0
1441574124,1,0
1441626323,1,0
1441667724,1,0
1441669521,1,0
1441674922,1,0
1441696520,1,0
1441698321,2,0
1441700119,2,0
1441702825,1,0
1441717222,1,0
1441722624,1,0
1441779327,1,0
1441791922,1,0
1441793722,1,0
1441806321,2,0
1441856722,1,0
1441880123,1,0
1441896321,1,0
1441932321,1,0
1441936821,1,0
1441956622,3,0
1441958421,1,0
1441963837,1,0
1441967429,1,0
1441969219,1,0
1441974622,1,0
1441980024,1,0
1441987223,1,0
1442002522,1,0
1442054727,2,0
1442056524,1,0
1442149225,1,0
1442233823,2,0
1442293226,3,0
1442307624,1,0
1442309421,1,0
