DateTime,AddedIPs,RemovedIPs
1435337105,0,2
1435342505,0,1
1435344306,0,1
1435347906,0,1
1435349706,0,1
1435353305,0,1
1435364105,0,1
1435378509,0,1
1435391106,2,1
1435392906,1,1
1435396505,1,1
1435398305,0,1
1435418106,0,1
1435419905,0,1
1435427106,0,1
1435428905,0,1
1435436106,1,0
1435439705,0,1
1435479306,4,0
1435486505,0,1
1435488305,0,1
1435490105,0,1
1435491906,0,1
1435493706,0,1
1435504505,0,3
1435529705,0,2
1435540506,0,1
1435556705,2,0
1435572905,1,1
1435581905,1,0
1435617905,0,1
1435623305,0,1
1435630505,0,1
1435643106,5,0
1435644905,0,2
1435650305,0,1
1435653905,0,1
1435655705,0,3
1435659306,0,1
1435700705,0,2
1435702506,0,2
1435711505,0,1
1435713306,0,1
1435716905,1,0
1435724107,0,1
1435736704,1,0
1435738506,1,0
1435740305,1,0
1435749304,0,1
1435751105,0,1
1435765505,1,0
1435770905,0,1
1435792505,0,2
1435794305,0,1
1435799705,0,1
1435806908,1,1
1435808726,0,3
1435821306,1,0
1435823105,2,0
1435824905,1,0
1435826705,4,0
1435830305,0,1
1435832105,1,0
1435837506,1,0
1435844704,3,0
1435859106,1,0
1435900505,5,0
1435909506,0,1
1435911305,1,0
1435934706,1,0
1435940105,0,1
1435941905,1,0
1435945505,0,1
1435954506,0,1
1435972513,1,0
1435997705,1,0
1435999505,7,1
1436001306,0,2
1436012106,0,1
1436015705,0,2
1436082305,3,0
1436105705,0,1
1436127305,0,2
1436129105,0,1
1436132706,0,1
1436139905,0,1
1436150705,0,1
1436157905,0,1
1436159706,0,1
1436161505,0,1
1436163305,0,1
1436175905,4,0
1436179505,0,1
1436184906,0,1
1436186707,1,1
1436190305,2,0
1436195706,0,1
1436197507,0,1
1436202906,0,1
1436229907,1,0
1436253306,1,0
1436256905,4,0
1436260506,0,2
1436273106,0,3
1436276706,1,0
1436280308,0,2
1436283905,0,1
1436285707,0,1
1436289305,0,1
1436296505,0,1
1436352306,0,2
1436363105,0,1
1436370309,1,0
1436372108,5,0
1436373907,0,1
1436390105,0,1
1436395506,0,1
1436404507,0,1
1436408106,0,2
1436420707,0,1
1436426105,2,0
1436427905,0,1
1436431505,1,0
1436436906,1,0
1436447705,0,2
1436458505,1,0
1436462107,0,1
1436480106,0,1
1436487306,0,1
1436489108,0,1
1436530512,1,0
1436543107,0,1
1436548506,0,1
1436562007,1,0
1436569207,1,0
1436613305,2,1
1436624105,0,1
1436685305,1,0
1436687106,1,0
1436719506,0,2
1436724905,0,1
1436726706,0,1
1436751906,0,1
1436760910,0,1
1436769905,0,1
1436773506,4,1
1436778906,0,1
1436784305,0,1
1436786106,1,0
1436807706,0,1
1436822106,0,1
1436834705,0,2
1436836507,0,1
1436852705,5,0
1436865306,0,2
1436881506,0,1
1436897705,0,1
1436901305,0,1
1436924704,0,1
1436930105,0,1
1436933705,0,2
1436935506,0,1
1436939105,0,1
1436944505,2,0
1436946305,41,0
1436949905,0,1
1436955305,0,1
1436967906,0,1
1436973305,4,1
1436976905,0,1
1436982305,0,1
1436989505,0,1
1436998506,0,1
1437002105,0,1
1437023706,0,1
1437025510,1,0
1437029106,0,1
1437039905,0,1
1437047106,0,264
1437050707,0,1
1437056106,1,0
1437070507,0,1
1437087606,0,2
1437089406,0,1
1437111007,0,1
1437112806,1,0
1437121813,1,0
1437123607,0,1
1437174010,0,1
1437179412,0,1
1437202816,0,1
1437309008,0,4
1437320709,1,1
1437376507,1,0
1437382022,1,0
1437392708,0,1
1437421508,0,1
1437459308,4,0
1437502508,0,1
1437516908,0,1
1437533107,1,0
1437534907,1,0
1437543908,2,0
1437545708,1,0
1437570908,0,1
1437660007,3,0
1437715808,2,0
1437741008,0,1
1437814808,0,1
1437841808,0,3
1437843607,1,0
1437902108,0,1
1437903907,1,0
1437926409,0,1
1437928207,0,1
1437980409,1,0
1437994807,1,0
1438014607,0,1
1438016408,1,0
1438083007,1,0
1438115408,1,0
1438138807,0,1
1438151407,2,0
1438155007,1,0
1438164007,0,1
1438169407,0,1
1438212607,0,1
1438221607,1,0
1438259407,0,1
1438264806,0,1
1438299007,0,1
1438308006,0,1
1438327807,0,1
1438335007,2,0
1438392607,0,1
1438398006,0,1
1438407007,0,1
1438414207,0,1
1438416007,1,1
1438425007,0,1
1438430407,0,1
1438435807,0,1
1438441207,1,0
1438452008,0,1
1438475407,0,1
1438500607,0,1
1438502407,0,1
1438525808,0,1
1438533907,0,1
1438564508,0,1
1438686907,1,0
1438690508,1,0
1438791307,2,0
1438800307,1,0
1438947907,7,2
1438973106,1,0
1439018107,1,0
1439023506,1,1
1439066707,1,0
1439068506,0,1
1439072108,1,0
1439075706,1,0
1439081106,0,1
1439093705,1,0
1439154905,0,1
1439162106,0,1
1439180106,0,1
1439190906,2,0
1439196307,1,0
1439203507,1,0
1439205308,1,0
1439221507,0,2
1439234107,0,1
1439283606,1,0
1439292606,1,0
1439312407,0,2
1439316008,1,0
1439319606,0,1
1439325007,0,1
1439362807,3,0
1439371805,1,0
1439377207,0,1
1439388007,1,0
1439391606,1,0
1439393406,3,0
1439395206,1,0
1439458206,0,1
1439494207,1,0
1439503207,1,0
1439505007,1,0
1439533807,1,0
1439535606,1,0
1439537406,1,0
1439546408,13,0
1439555408,0,1
1439559007,2,0
1439566207,0,1
1439568007,0,1
1439580607,1,0
1439648107,0,1
1439655308,0,1
1439666107,1,0
1439714708,1,0
1439716508,1,1
1439759707,0,1
1439792107,0,1
1439793905,1,0
1439891106,1,0
1439909106,1,0
1439916308,0,1
1439965808,1,0
1439967608,1,0
1439971208,1,0
1439983805,1,0
1439998206,2,0
1440007206,1,0
1440016207,1,0
1440050405,1,0
1440061205,1,0
1440091806,1,0
1440099006,0,2
1440106205,2,0
1440124206,0,1
1440127805,0,1
1440138605,2,0
1440147606,1,2
1440149405,1,0
1440160205,0,0
1440176406,0,1
1440189006,1,0
1440203406,1,0
1440218706,0,1
1440225906,1,0
1440227704,0,1
1440229505,1,0
1440243905,1,0
1440247505,1,0
1440258305,1,0
1440276305,1,0
1440308707,1,0
1440312305,1,0
1440321307,1,0
1440324906,2,0
1440339306,2,0
1440341107,1,0
1440342905,1,0
1440405906,2,0
1440407705,2,0
1440411306,1,0
1440427505,1,0
1440434705,0,1
1440497705,0,1
1440501305,1,0
1440521106,1,0
1440528306,1,1
1440531906,1,0
1440567906,1,0
1440569705,1,0
1440578705,1,0
1440589505,1,0
1440596705,0,1
1440607505,1,0
1440616506,1,0
1440627306,1,0
1440652505,3,0
1440661506,0,1
1440663305,1,0
1440668705,0,0
1440671406,1,0
1440675006,1,0
1440684004,1,0
1440696606,1,0
1440700206,1,0
1440705605,0,1
1440707405,0,2
1440712807,1,1
1440736206,2,0
1440738006,2,0
1440739806,0,2
1440750606,1,0
1440752405,0,2
1440757806,1,0
1440761406,1,0
1440765005,1,0
1440770406,2,0
1440781206,0,3
1440792007,1,0
1440811805,1,0
1440813605,0,1
1440835204,1,0
1440837006,1,0
1440846005,1,0
1440851405,1,0
1440855006,1,0
1440860408,1,0
1440862206,1,0
1440874806,1,0
1440878406,1,0
1440927006,0,1
1440976507,1,0
1440990906,1,0
1440993607,0,2
1440999006,1,0
1441004406,1,0
1441008007,3,0
1441009806,0,1
1441011606,1,0
1441020606,0,1
1441028706,0,1
1441044006,1,0
1441096206,1,0
1441101608,1,0
1441103407,2,0
1441114206,1,0
1441129506,2,0
1441197906,0,1
1441246506,1,0
1441257307,1,0
1441264506,2,0
1441273505,0,1
1441278906,0,2
1441286105,0,1
1441316705,1,0
1441350906,1,0
1441352706,1,0
1441363506,2,0
1441385106,1,0
1441392305,0,1
1441401305,1,0
1441420206,1,0
1441440905,0,3
1441449905,0,1
1441453506,0,1
1441455305,2,0
1441469706,1,0
1441525507,0,2
1441529106,1,1
1441536305,1,0
1441565105,1,1
1441574106,1,0
1441593905,0,1
1441615506,0,2
1441626306,1,0
1441664105,0,2
1441667705,1,2
1441669505,1,0
1441674905,1,0
1441676706,0,1
1441685705,0,1
1441694706,1,0
1441696505,1,0
1441698305,2,0
1441700105,2,0
1441701905,1,0
1441716305,1,0
1441723505,1,0
1441780205,1,0
1441782004,0,1
1441791906,1,0
1441793706,1,1
1441797305,0,1
1441806305,2,0
1441833306,0,1
1441854905,0,1
1441856707,1,0
1441880105,1,0
1441883706,0,1
1441885505,0,1
1441887305,0,1
1441896306,1,0
1441908906,0,2
1441932305,1,0
1441937706,1,0
1441955706,3,0
1441961106,0,1
1441964707,0,1
1441968305,2,0
1441975506,1,0
1441979105,1,0
1441982705,0,1
1441984506,0,2
1441986305,0,1
1441988105,1,0
1442002506,1,0
1442056507,1,1
1442085306,0,2
1442096105,0,1
1442121306,0,1
1442128506,0,1
1442133906,0,1
1442149207,1,0
1442172605,0,1
1442222107,0,1
1442277907,0,3
1442308505,1,0
1442326506,0,1
1442331905,1,0
1442333706,0,1
1442418307,0,1
1442481307,0,1
