DateTime,Entries,UniqueIPs
1441390922,681,681
1441392722,687,687
1441394521,634,634
1441396322,629,629
1441398721,628,628
1441400522,703,703
1441402321,641,641
1441404122,701,701
1441405924,770,770
1441407722,772,772
1441409522,772,772
1441411321,759,759
1441413121,765,765
1441414922,759,759
1441417922,759,759
1441420321,687,687
1441422122,625,625
1441423922,596,596
1441425722,594,594
1441428122,589,589
1441429922,576,576
1441431722,574,574
1441433522,575,575
1441435922,577,577
1441438322,578,578
1441440722,571,571
1441443122,571,571
1441445522,574,574
1441449122,572,572
1441450922,572,572
1441452721,571,571
1441454522,572,572
1441456922,576,576
1441459322,576,576
1441461121,574,574
1441462922,575,575
1441464722,671,671
1441467124,759,759
1441470122,640,640
1441471921,639,639
1441474321,693,693
1441476122,696,696
1441478525,695,695
1441480322,688,688
1441482122,687,687
1441483922,683,683
1441485721,609,609
1441487522,602,602
1441489922,521,521
1441492922,533,533
1441494722,593,593
1441498321,593,593
1441500122,641,641
1441501922,712,712
1441503722,728,728
1441506722,713,713
1441508521,700,700
1441510322,706,706
1441512122,734,734
1441513922,740,740
1441515722,741,741
1441519322,748,748
1441521122,750,750
1441522922,751,751
1441528321,751,751
1441530122,824,824
1441535522,826,826
1441537321,828,828
1441539122,828,828
1441540922,823,823
1441542721,815,815
1441546321,817,817
1441548121,815,815
1441549922,749,749
1441551721,653,653
1441553522,635,635
1441557122,650,650
1441558921,681,681
1441560721,737,737
1441562522,737,737
1441564322,742,742
1441566122,743,743
1441567921,742,742
1441569722,739,739
1441571522,736,736
1441573322,734,734
1441575122,733,733
1441576921,759,759
1441579322,817,817
1441581122,758,758
1441582922,758,758
1441584722,743,743
1441586522,698,698
1441588322,617,617
1441590122,618,618
1441591922,614,614
1441593721,612,612
1441595522,600,600
1441597322,574,574
1441599122,563,563
1441602722,566,566
1441604522,563,563
1441606321,563,563
1441608121,563,563
1441609921,561,561
1441613521,556,556
1441615321,504,504
1441617121,502,502
1441618921,497,497
1441620722,494,494
1441622523,493,493
1441624321,493,493
1441626122,493,493
1441631522,486,486
1441633322,485,485
1441635122,489,489
1441636922,493,493
1441638725,490,490
1441640530,488,488
1441642322,473,473
1441644122,499,499
1441647722,459,459
1441649522,444,444
1441651323,515,515
1441653122,570,570
1441654922,574,574
1441660322,640,640
1441662122,608,608
1441663922,547,547
1441665722,542,542
1441667521,532,532
1441669321,534,534
1441671121,536,536
1441672922,531,531
1441676523,594,594
1441678322,680,680
1441680121,738,738
1441681922,742,742
1441683721,743,743
1441685522,749,749
1441687322,747,747
1441689122,759,759
1441690922,751,751
1441694521,749,749
1441696325,751,751
1441698122,753,753
1441701722,752,752
1441705322,753,753
1441707122,758,758
1441710722,756,756
1441712522,757,757
1441716123,756,756
1441717922,847,847
1441719722,931,931
1441721523,937,937
1441723321,942,942
1441725122,946,946
1441727522,955,955
1441729922,895,895
1441731722,855,855
1441735322,854,854
1441737122,856,856
1441738922,860,860
1441740722,876,876
1441742522,869,869
1441744322,870,870
1441746122,803,803
1441747922,863,863
1441749722,860,860
1441752122,858,858
1441753921,853,853
1441755722,847,847
1441757522,850,850
1441759322,841,841
1441761122,781,781
1441762924,721,721
1441764721,722,722
1441766522,706,706
1441768321,775,775
1441770122,817,817
1441771922,811,811
1441773722,806,806
1441775522,805,805
1441777322,811,811
1441779122,827,827
1441780921,826,826
1441782722,820,820
1441786322,816,816
1441788122,811,811
1441789922,806,806
1441791722,801,801
1441797122,799,799
1441800722,802,802
1441802525,731,731
1441804922,647,647
1441806721,618,618
1441809122,608,608
1441810924,602,602
1441812722,593,593
1441814522,590,590
1441818122,677,677
1441819922,763,763
1441821722,770,770
1441823522,701,701
1441825322,654,654
1441827122,631,631
1441828922,631,631
1441830722,626,626
1441832522,627,627
1441834321,539,539
1441839722,545,545
1441841521,551,551
1441843322,552,552
1441845122,550,550
1441846922,539,539
1441848722,538,538
1441850523,537,537
1441852321,487,487
1441854122,438,438
1441855922,372,372
1441857722,370,370
1441861322,374,374
1441863122,360,360
1441864922,349,349
1441866724,348,348
1441870322,347,347
1441873922,349,349
1441879322,347,347
1441886522,342,342
1441888321,364,364
1441890121,371,371
1441891921,374,374
1441895522,375,375
1441897321,378,378
1441899122,383,383
1441900922,384,384
1441902722,385,385
1441904522,312,312
1441906322,214,214
1441908121,240,240
1441909922,241,241
1441911722,244,244
1441913522,239,239
1441917122,301,301
1441918922,313,313
1441920721,312,312
1441924921,303,303
1441926723,333,333
1441928522,338,338
1441930322,339,339
1441932122,339,339
1441933922,340,340
1441935722,344,344
1441937522,340,340
1441939322,343,343
1441944721,401,401
1441946522,404,404
1441948322,401,401
1441950122,400,400
1441951922,400,400
1441953721,400,400
1441955522,400,400
1441957322,400,400
1441962722,402,402
1441964522,401,401
1441966322,398,398
1441968122,398,398
1441969922,396,396
