DateTime,Entries,UniqueIPs
1434369924,540757,540757
1434456304,540400,540400
1434542716,539781,539781
1434542716,539781,539781
1434629105,538872,538872
1434629105,538872,538872
1434715513,538078,538078
1434801901,538199,538199
1434888282,536992,536992
1434974687,536435,536435
1435061081,536194,536194
1435147478,535809,535809
1435233877,535483,535483
1435320281,532979,532979
1435406685,532430,532430
1435493077,531441,531441
1435579492,531387,531387
1435665881,531456,531456
1435752291,531868,531868
1435838672,532001,532001
1435925047,530798,530798
1436011457,530350,530350
1436097842,529510,529510
1436184260,529044,529044
1436270655,528180,528180
1436357062,527380,527380
1436443454,526572,526572
1436529838,526258,526258
1436616245,525993,525993
1436702639,525242,525242
1436789044,524305,524305
1436875461,524144,524144
1436961853,523117,523117
1437048254,522252,522252
1437134647,521840,521840
1437221049,521301,521301
1437307435,520103,520103
1437393837,519440,519440
1437480250,518514,518514
1437653030,515119,515119
1437739433,514282,514282
1437825831,514059,514059
1437912237,512983,512983
1437998641,512213,512213
1438085029,512730,512730
1438171429,512288,512288
1438257833,512215,512215
1438344227,512159,512159
1438430627,511825,511825
1438517028,510722,510722
1438603423,510398,510398
1438689822,507887,507887
1438776217,507498,507498
1438905826,505915,505915
1438992255,505667,505667
1439078708,505186,505186
1439078708,505186,505186
1439078708,505186,505186
1439078708,505186,505186
1439165094,504195,504195
1439165094,504195,504195
1439251422,503957,503957
1439380999,504677,504677
1439467396,503760,503760
1439553792,503416,503416
1439640192,503867,503867
1439640192,503867,503867
1439726595,506223,506223
1439812993,506028,506028
1439899394,504127,504127
1439985797,526392,526392
1440072245,787498,787498
1440072245,787498,787498
1440158598,507140,507140
1440244995,506955,506955
1440331397,506349,506349
1440417797,505930,505930
1440504194,505353,505353
1440590597,504482,504482
1440590597,504482,504482
1440676999,504062,504062
1440763400,503593,503593
1440849802,501841,501841
1440936202,500688,500688
1441022603,499967,499967
1441109006,499362,499362
1441195405,498737,498737
1441281805,498281,498281
1441368206,497880,497880
1441454606,497773,497773
1441541006,496975,496975
1441627406,496385,496385
1441713807,495812,495812
1441800210,495333,495333
1441886608,494569,494569
1441973017,493505,493505
1442059414,493194,493194
1442145810,492199,492199
1442232212,491462,491462
1442318617,491241,491241
1442405013,490569,490569
