DateTime,AddedIPs,RemovedIPs
1434672260,1375,2684
1434715424,1228,17
1434758607,1516,2384
1434801816,1007,0
1434845011,869,2096
1434888204,791,0
1434974608,2123,2654
1435017813,1334,2508
1435061000,1097,0
1435104474,1049,2755
1435147396,1208,0
1435190854,1372,2569
1435233798,1219,0
1435277005,853,2383
1435320203,956,2
1435363438,905,2258
1435449792,1946,4980
1435492996,786,0
1435536191,1171,2499
1435579409,1181,0
1435622592,1355,2702
1435665804,1394,0
1435708996,1211,2618
1435752209,1195,0
1435795410,1179,2587
1435838593,1335,0
1435924965,2167,50865
1435968167,1141,5800
1436011376,998,0
1436054566,1091,2118
1436097761,922,0
1436184177,2388,2482
1436227387,1158,3399
1436270576,1136,1
1436313837,1226,2818
1436356979,1131,0
1436400170,1350,2718
1436443373,1213,0
1436529759,2429,2591
1436572963,1013,2573
1436616168,1128,20
1436659360,1175,2246
1436702558,1050,0
1436788965,2114,2704
1436832176,1053,2563
1436875382,1334,0
1436918564,1122,2624
1436961772,1197,0
1437004958,876,2519
1437048175,1004,0
1437134574,1941,2627
1437177758,923,2206
1437220971,751,0
1437264157,895,2142
1437307359,701,0
1437350557,1160,2822
1437393765,1096,2
1437436953,957,2641
1437480171,1000,0
1437523361,898,2542
1437652956,2938,2686
1437696153,913,2329
1437739357,1036,0
1437782653,832,2470
1437825759,956,9
1437912161,1765,2730
1437955349,920,2186
1437998563,1037,0
1438041750,1904,2310
1438084955,1296,0
1438128144,1290,2409
1438171356,1210,0
1438214568,1200,2601
1438257766,1174,0
1438300961,1073,2288
1438387362,2006,2333
1438430556,913,0
1438473750,854,2159
1438516957,759,0
1438560187,909,2144
1438646600,2417,2012
1438689759,1286,1
1438732956,1112,2629
1438905752,4677,4740
1438948950,998,21
1438992154,1018,2289
1439035346,1147,0
1439078598,1058,2001
1439121741,753,0
1439164995,839,2379
1439251357,2496,2295
1439294532,1109,0
1439337756,1213,2263
1439380937,1120,0
1439424168,1059,2239
1439467333,1063,0
1439510567,886,2129
1439596968,2410,1766
1439640131,1379,0
1439683354,3777,1629
1439726534,1417,1
1439769754,1109,2199
1439812932,1034,0
1439856168,1123,2327
1439942567,7190,2310
1439985737,18116,0
1440028995,204692,2479
1440115369,3496,222776
1440158538,1052,0
1440201764,931,2203
1440244936,1009,0
1440288168,1009,1996
1440331337,842,0
1440417738,2053,2558
1440460971,888,2648
1440547371,2055,2870
1440590538,1143,0
1440633771,1376,2778
1440720169,1917,2332
1440763341,1158,2
1440849741,2158,2285
1440892978,972,2360
1440936143,848,0
1441022544,2006,2719
1441065774,955,2410
1441108947,1202,0
1441195346,2024,2565
1441238576,851,2483
1441281747,969,0
1441324980,1012,2421
1441368148,988,0
1441454548,1834,1985
1441497777,1023,1998
1441540948,745,0
1441584162,731,2540
1441670579,2090,2577
1441713749,978,0
1441756965,966,2297
1441843381,1911,2345
1441886550,948,0
1441929781,973,2271
1442016179,1921,2018
1442059356,913,0
1442102564,945,1991
1442188969,1594,2472
1442232154,1119,0
1442275383,974,2256
1442318558,1317,0
1442404955,1948,2241
