DateTime,Entries,UniqueIPs
1441230300,9319,9319
1441233000,9312,9312
1441233900,9296,9296
1441236600,9299,9299
1441237500,9299,9299
1441240200,9295,9295
1441241100,9300,9300
1441243800,9300,9300
1441244700,9313,9313
1441247400,9321,9321
1441248300,9330,9330
1441251000,9333,9333
1441251900,9333,9333
1441254600,9340,9340
1441255500,9340,9340
1441258200,9342,9342
1441259100,9355,9355
1441261800,9351,9351
1441262700,9326,9326
1441265400,9336,9336
1441266300,9294,9294
1441269000,9289,9289
1441269900,9265,9265
1441273500,9247,9247
1441274400,9258,9258
1441276200,9254,9254
1441277100,9200,9200
1441279800,9201,9201
1441280700,9131,9131
1441283400,9138,9138
1441284300,9078,9078
1441287000,9076,9076
1441287900,9025,9025
1441288800,9027,9027
1441290600,9027,9027
1441291500,9002,9002
1441294200,9006,9006
1441295100,8968,8968
1441297800,8959,8959
1441298700,8933,8933
1441301400,8936,8936
1441302300,8868,8868
1441305000,8879,8879
1441305900,8840,8840
1441308600,8835,8835
1441309500,8810,8810
1441312200,8805,8805
1441313100,8801,8801
1441314000,8802,8802
1441315800,8802,8802
1441316700,8747,8747
1441317600,8748,8748
1441319400,8753,8753
1441320300,8699,8699
1441323000,8699,8699
1441323900,8639,8639
1441326600,8642,8642
1441327500,8596,8596
1441330200,8591,8591
1441331100,8535,8535
1441333800,8539,8539
1441334700,8481,8481
1441337400,8470,8470
1441338300,8361,8361
1441341000,8366,8366
1441341900,8333,8333
1441342800,8336,8336
1441344600,8330,8330
1441345500,8295,8295
1441348200,8293,8293
1441349100,8238,8238
1441351800,8236,8236
1441352700,8167,8167
1441353600,8180,8180
1441355400,8190,8190
1441356300,8147,8147
1441359000,8150,8150
1441359900,8126,8126
1441362600,8119,8119
1441363500,8080,8080
1441366200,8080,8080
1441367100,8027,8027
1441369800,8030,8030
1441370700,7979,7979
1441373400,7977,7977
1441374300,7929,7929
1441377000,7936,7936
1441377900,7872,7872
1441380600,7872,7872
1441381500,7807,7807
1441384200,7800,7800
1441385100,7765,7765
1441387800,7735,7735
1441388700,7723,7723
1441391400,7719,7719
1441392300,7711,7711
1441395000,7698,7698
1441395900,7749,7749
1441398600,7753,7753
1441399500,7737,7737
1441401300,7733,7733
1441402200,7735,7735
1441403100,7736,7736
1441405800,7737,7737
1441406700,7722,7722
1441409400,7718,7718
1441410300,7704,7704
1441413000,7705,7705
1441413900,7701,7701
1441416600,7705,7705
1441417500,7672,7672
1441418400,7695,7695
1441420200,7688,7688
1441421100,7692,7692
1441423800,7680,7680
1441424700,7668,7668
1441428300,7666,7666
1441431000,7660,7660
1441431900,7647,7647
1441434600,7648,7648
1441435500,7609,7609
1441438200,7611,7611
1441439100,7598,7598
1441441800,7597,7597
1441442700,7628,7628
1441445400,7620,7620
1441446300,7655,7655
1441449000,7656,7656
1441449900,7721,7721
1441452600,7716,7716
1441453500,7741,7741
1441456200,7730,7730
1441457100,7748,7748
1441459800,7745,7745
1441460700,7775,7775
1441463400,7770,7770
1441464300,7782,7782
1441467000,7778,7778
1441467900,7768,7768
1441470600,7779,7779
1441471500,7778,7778
1441474200,7772,7772
1441475100,7789,7789
1441477800,7789,7789
1441478700,7804,7804
1441481400,7793,7793
1441482300,7780,7780
1441485000,7791,7791
1441485900,7797,7797
1441488600,7791,7791
1441489500,7799,7799
1441492200,7798,7798
1441493100,7822,7822
1441495800,7828,7828
1441496700,7821,7821
1441499400,7821,7821
1441500300,7804,7804
1441503000,7809,7809
1441503900,7839,7839
1441506600,7836,7836
1441507500,7841,7841
1441510200,7841,7841
1441511100,7862,7862
1441513800,7866,7866
1441514700,7870,7870
1441517400,7874,7874
1441518300,7901,7901
1441521000,7898,7898
1441521900,7911,7911
1441524600,7905,7905
1441525500,7921,7921
1441528200,7927,7927
1441529100,7961,7961
1441531800,7958,7958
1441532700,7965,7965
1441535400,7964,7964
1441536300,7974,7974
1441539000,7971,7971
1441539900,7998,7998
1441542600,8003,8003
1441543500,8042,8042
1441546200,8031,8031
1441547100,8071,8071
1441549800,8071,8071
1441550700,8104,8104
1441553400,8102,8102
1441554300,8158,8158
1441557000,8151,8151
1441557900,8178,8178
1441560600,8180,8180
1441561500,8210,8210
1441564200,8220,8220
1441565100,8264,8264
1441567800,8257,8257
1441568700,8303,8303
1441571400,8291,8291
1441572300,8323,8323
1441575000,8323,8323
1441575900,8350,8350
1441578600,8355,8355
1441579500,8396,8396
1441582200,8397,8397
1441583100,8430,8430
1441585800,8431,8431
1441586700,8479,8479
1441589400,8485,8485
1441590300,8536,8536
1441593000,8541,8541
1441593900,8581,8581
1441596600,8579,8579
1441597500,8624,8624
1441600200,8624,8624
1441601100,8646,8646
1441603800,8648,8648
1441604700,8681,8681
1441607400,8682,8682
1441608300,8734,8734
1441611000,8739,8739
1441611900,8797,8797
1441614601,8803,8803
1441615500,8845,8845
1441618200,8847,8847
1441619100,8920,8920
1441621800,8927,8927
1441622700,8977,8977
1441625400,8978,8978
1441626300,9038,9038
1441629000,9047,9047
1441629900,9090,9090
1441632600,9086,9086
1441633500,9148,9148
1441636200,9160,9160
1441637100,9192,9192
1441638000,9206,9206
1441639800,9203,9203
1441640700,9250,9250
1441646100,9305,9305
1441647000,9302,9302
1441647900,9264,9264
1441650600,9269,9269
1441651500,9437,9437
1441654200,9437,9437
1441655100,9522,9522
1441656900,9519,9519
1441657800,9521,9521
1441658700,9576,9576
1441661400,9583,9583
1441662300,9614,9614
1441663200,9660,9660
1441665000,9659,9659
1441665900,10138,10138
1441666800,10318,10318
1441668600,10324,10324
1441669500,10685,10685
1441670400,11045,11045
1441672200,11054,11054
1441673100,11148,11148
1441674000,11763,11763
1441675800,11766,11766
1441676700,12144,12144
1441677600,12499,12499
1441679400,12497,12497
1441680300,12848,12848
1441681200,13259,13259
1441683000,13254,13254
1441683900,13218,13218
1441684800,13314,13314
1441685700,13313,13313
1441686600,13318,13318
1441687500,13307,13307
1441688400,13366,13366
1441690200,13365,13365
1441691100,13410,13410
1441692000,13452,13452
1441693800,13457,13457
1441694700,13486,13486
1441695600,13533,13533
1441697400,13529,13529
1441698300,13510,13510
1441699200,13596,13596
1441701000,13624,13624
1441701900,13544,13544
1441702800,13645,13645
1441704600,13654,13654
1441705500,13584,13584
1441706400,13683,13683
1441708200,13680,13680
1441709100,13626,13626
1441710000,13727,13727
1441711800,13724,13724
1441712700,13654,13654
1441713600,13741,13741
1441715400,13755,13755
1441716300,13680,13680
1441717200,13758,13758
1441719000,13788,13788
1441719900,13733,13733
1441720800,13793,13793
1441722600,13811,13811
1441723500,13737,13737
1441724400,13809,13809
1441726200,13811,13811
1441727100,13782,13782
1441728000,13832,13832
1441729800,13827,13827
1441730700,13791,13791
1441731600,13834,13834
1441733400,13845,13845
1441734300,13817,13817
1441735200,13857,13857
1441737000,13875,13875
1441737900,13845,13845
1441738800,13882,13882
1441740600,13891,13891
1441741500,13851,13851
1441742400,13907,13907
1441744200,13918,13918
1441745100,13879,13879
1441746000,13923,13923
1441747800,13919,13919
1441748700,13882,13882
1441750500,13927,13927
1441751400,14048,14048
1441752300,13984,13984
1441753200,14031,14031
1441755000,14036,14036
1441755900,13982,13982
1441756800,14036,14036
1441758600,14046,14046
1441759500,13995,13995
1441760400,14050,14050
1441762200,14060,14060
1441763100,14016,14016
1441764000,14072,14072
1441765800,14087,14087
1441766700,14078,14078
1441769400,14083,14083
