DateTime,Entries,UniqueIPs
1440288191,1005,1005
1440289538,1008,1008
1440295389,1016,1016
1440298932,1019,1019
1440302587,1028,1028
1440306186,1036,1036
1440307713,1041,1041
1440311463,1044,1044
1440316983,1052,1052
1440318509,1055,1055
1440324181,1059,1059
1440327781,1065,1065
1440329128,1066,1066
1440334980,1069,1069
1440338096,1072,1072
1440342179,1077,1077
1440345777,1083,1083
1440347733,1086,1086
1440352975,1092,1092
1440356615,1094,1094
1440357984,1096,1096
1440363773,1100,1100
1440365303,1103,1103
1440370972,1107,1107
1440374569,1111,1111
1440375976,1111,1111
1440378168,1105,1105
1440381769,1103,1103
1440385388,1107,1107
1440388966,1107,1107
1440392572,1100,1100
1440394031,1108,1108
1440397904,1108,1108
1440403365,1101,1101
1440404892,1103,1103
1440406966,1102,1102
1440410563,1107,1107
1440414226,1111,1111
1440415631,1113,1113
1440417782,1110,1110
1440421421,1108,1108
1440424965,1110,1110
1440428559,1108,1108
1440432156,1107,1107
1440433686,1113,1113
1440439417,1116,1116
1440442410,1116,1116
1440443014,1115,1115
1440446555,1115,1115
1440450156,1114,1114
1440451807,1117,1117
1440457412,1116,1116
1440460953,1112,1112
1440468151,1114,1114
1440470289,1115,1115
1440475410,1110,1110
1440478949,1117,1117
1440480964,1116,1116
1440484334,1115,1115
1440486206,1114,1114
1440489745,1112,1112
1440491274,1114,1114
1440493343,1110,1110
1440497005,1115,1115
1440500546,1110,1110
1440502073,1114,1114
1440504204,1112,1112
1440507803,1114,1114
1440509331,1116,1116
1440514939,1115,1115
1440518599,1111,1111
1440520005,1107,1107
1440525798,1108,1108
1440527509,1107,1107
1440532933,1109,1109
1440536596,1110,1110
1440538063,1112,1112
1440543793,1113,1113
1440546055,1112,1112
1440550994,1115,1115
1440554593,1115,1115
1440556119,1116,1116
1440558128,1111,1111
1440561788,1117,1117
1440565388,1119,1119
1440566794,1119,1119
1440570722,1115,1115
1440572587,1111,1111
1440576187,1113,1113
1440577714,1116,1116
1440579785,1107,1107
1440583384,1109,1109
1440586982,1112,1112
1440587721,1115,1115
1440590583,1113,1113
1440594182,1116,1116
