DateTime,AddedIPs,RemovedIPs
1440450156,3,0
1440451807,3,0
1440457412,6,0
1440460953,2,0
1440468151,2,0
1440470289,4,0
1440475410,7,0
1440478949,7,0
1440480964,3,0
1440484334,3,0
1440489745,4,0
1440491274,2,0
1440497005,5,0
1440500546,3,0
1440502073,4,0
1440507803,1,0
1440509331,3,0
1440514939,3,0
1440518599,2,0
1440520005,3,0
1440525798,5,0
1440527509,2,0
1440532933,3,0
1440536596,2,0
1440538063,5,0
1440543793,4,0
1440546055,1,0
1440550994,3,0
1440554593,4,0
1440556119,1,0
1440561788,5,0
1440565388,7,0
1440566794,3,0
1440570722,1,0
1440576187,2,0
1440577714,5,0
1440583384,5,0
1440586982,6,0
1440594182,3,0
1440595772,4,0
1440601379,5,0
1440604985,3,0
1440608639,1,0
1440614315,5,0
1440619376,4,0
1440622973,5,0
1440624440,3,0
1440630171,5,0
1440633225,3,0
1440637430,1,0
1440641028,4,0
1440642556,3,0
1440648227,2,0
1440651765,2,0
1440653233,9,0
1440657128,1,0
1440664032,3,0
1440669824,7,0
1440676960,6,0
1440680564,4,0
1440684160,4,0
1440687868,3,0
1440689289,8,0
1440695019,2,0
1440697952,4,0
1440702156,4,0
1440705759,1,0
1440707282,3,0
1440712953,6,0
1440716613,6,0
1440718080,4,0
1440727353,4,0
1440731008,2,0
1440734546,5,0
1440736747,2,0
1440741744,6,0
1440743531,1,0
1440749002,3,0
1440750897,2,0
1440756202,3,0
1440759803,3,0
1440761272,12,0
1440766939,1,0
1440769995,4,0
1440774138,3,0
1440777798,3,0
1440779327,10,0
1440784941,2,0
1440788595,5,0
1440790065,2,0
1440795795,4,0
1440799397,3,0
1440802994,3,0
1440806531,1,0
1440808121,1,0
1440816233,2,0
1440820989,3,0
1440824526,6,0
1440826178,5,0
1440829907,2,0
1440837525,3,0
1440842606,1,0
1440846182,4,0
1440847774,4,0
1440853383,3,0
1440855644,2,0
1440860580,1,0
1440864179,2,0
1440865951,4,0
1440871377,3,0
1440874982,2,0
1440878576,2,0
1440882175,2,0
1440884313,1,0
1440889372,7,0
1440892972,4,0
1440900170,3,0
1440903773,2,0
1440907372,5,0
1440911032,5,0
1440912559,7,0
1440916256,1,0
1440921766,1,0
1440923722,1,0
1440928964,1,0
1440932567,4,0
1440934155,2,0
1440939761,3,0
1440942450,2,0
1440946963,1,0
1440950622,4,0
1440952761,6,0
1440957758,4,0
1440961417,3,0
1440962885,2,0
1440968556,4,0
1440972218,3,0
1440975815,4,0
1440979355,1,0
1440990152,2,0
1440993750,4,0
1440997410,6,0
1441000586,3,0
1441002629,2,0
1441008208,1,0
1441010225,4,0
1441015344,5,0
1441019006,6,0
1441020597,4,0
1441026144,2,0
1441029197,3,0
1441033402,2,0
1441036939,3,0
1441038529,5,0
1441044198,4,0
1441046338,7,0
1441051338,6,0
1441054995,3,0
1441056524,5,0
1441062193,4,0
1441065427,2,0
1441069459,3,0
1441072992,5,0
1441074519,4,0
1441080190,4,0
1441082876,3,0
1441087390,5,0
1441089091,3,0
1441094587,3,0
1441096789,2,0
1441105384,4,0
1441106976,4,0
1441112585,1,0
1441114968,3,0
1441123381,2,0
1441125640,8,0
1441130578,4,0
1441134177,2,0
1441135587,5,0
1441141376,2,0
1441143638,4,0
1441148574,5,0
1441152172,5,0
1441153761,4,0
1441159371,3,0
1441162976,2,0
1441166570,5,0
1441170168,5,0
1441172432,5,0
1441175462,3,0
1441180966,4,0
1441183229,1,0
1441188225,1,0
1441191769,7,0
1441193415,4,0
1441198961,2,0
1441202200,3,0
1441206160,2,0
1441209820,5,0
1441211415,3,0
1441217017,3,0
1441220563,6,0
1441224216,3,0
1441227815,4,0
1441230074,1,0
1441234951,5,0
1441238551,4,0
1441240200,3,0
1441245748,5,0
1441249414,4,0
1441252947,7,0
1441256607,4,0
1441258198,2,0
1441261904,3,0
1441267344,4,0
1441269608,2,0
1441274606,1,0
1441278204,4,0
1441279796,10,0
1441285452,2,0
1441287116,6,0
1441292539,2,0
1441296144,2,0
1441299801,7,0
1441303398,7,0
1441304987,1,0
1441310596,2,0
1441312856,1,0
1441317793,3,0
1441321394,3,0
1441323045,7,0
1441328592,3,0
1441332194,4,0
1441335853,5,0
1441339389,4,0
1441341039,1,0
1441346528,6,0
1441348313,2,0
1441353786,3,0
1441355683,3,0
1441363550,2,0
1441368183,8,0
1441371783,3,0
1441374102,6,0
1441378981,3,0
1441381365,3,0
1441386240,2,0
1441389838,5,0
1441391551,2,0
1441397004,3,0
1441398626,3,0
1441404173,2,0
1441407045,4,0
1441411372,5,0
1441417291,3,0
1441422230,1,0
1441425770,6,0
1441427419,4,0
1441433026,8,0
1441434692,2,0
1441440225,1,0
1441442489,1,0
1441447424,1,0
1441450962,1,0
1441452675,1,0
1441460425,2,0
1441465363,1,0
1441469028,2,0
1441472558,2,0
1441476162,7,0
1441478541,8,0
1441485861,3,0
1441490615,2,0
1441494155,3,0
1441495867,4,0
1441504526,3,0
1441508611,2,0
1441512210,4,0
1441513862,3,0
1441519410,2,0
1441521101,1,0
1441526546,2,0
1441528931,2,0
1441533751,3,0
1441537343,1,0
1441539053,6,0
1441544667,2,0
1441546865,2,0
1441551801,1,0
1441555399,3,0
1441557112,2,0
1441562598,6,0
1441564981,1,0
1441569735,2,0
1441573334,1,0
1441575170,1,0
1441580592,2,0
1441582915,4,0
1441587789,1,0
1441591391,5,0
1441593104,1,0
1441598590,6,0
1441600970,3,0
1441605789,7,0
1441607515,3,0
1441612985,2,0
1441615370,3,0
1441620183,2,0
1441623785,2,0
1441625557,6,0
1441630983,3,0
1441633306,2,0
1441638181,5,0
1441641781,2,0
1441645379,3,0
1441648978,8,0
1441652095,4,0
1441656200,3,0
1441659479,4,0
1441663377,1,0
1441666976,3,0
1441668688,9,0
1441677780,3,0
1441681373,2,0
1441684972,6,0
1441686748,4,0
1441692171,5,0
1441693941,4,0
1441699369,6,0
1441701203,1,0
1441706568,2,0
1441709013,3,0
1441713766,6,0
1441717425,3,0
1441719138,2,0
1441724626,2,0
1441727922,4,0
1441731762,2,0
1441735361,8,0
1441737195,7,0
1441742620,4,0
1441746282,2,0
1441749816,2,0
1441753429,2,0
1441755190,7,0
1441760555,4,0
1441764154,2,0
1441767819,4,0
1441771412,3,0
1441773120,1,0
1441778608,7,0
1441780330,1,0
1441785745,2,0
1441788193,6,0
1441793006,3,0
1441795515,2,0
1441800146,4,0
1441803743,6,0
1441805577,2,0
1441811004,4,0
1441814548,2,0
1441818202,1,0
1441821814,2,0
1441823577,2,0
1441829005,3,0
1441832604,3,0
1441836197,3,0
1441839796,1,0
1441842119,3,0
1441849499,4,0
1441854193,4,0
1441857793,6,0
1441859564,3,0
1441865015,3,0
1441866757,2,0
1441872189,2,0
1441873965,4,0
1441879387,2,0
1441882198,3,0
1441886586,2,0
1441890188,4,0
1441897385,2,0
1441900990,2,0
1441904582,3,0
1441908181,3,0
1441909952,5,0
1441915379,1,0
1441917824,4,0
1441926183,1,0
1441929780,1,0
1441933376,2,0
1441935215,2,0
1441943691,5,0
1441947776,5,0
1441951373,3,0
1441953086,2,0
1441958576,3,0
1441962174,2,0
1441965896,2,0
1441973031,4,0
1441975472,3,0
1441980166,5,0
1441983771,2,0
1441987426,6,0
1441990963,3,0
1441992801,6,0
1442001784,5,0
1442005423,4,0
1442009021,2,0
1442010854,2,0
1442016219,4,0
1442023486,1,0
1442026956,1,0
1442029402,3,0
1442034215,2,0
1442037814,5,0
1442039494,1,0
1442044468,4,0
1442048610,2,0
1442052210,2,0
1442054719,2,0
1442059473,6,0
1442062278,2,0
1442066606,3,0
1442070206,1,0
1442072101,2,0
1442077343,1,0
1442079913,2,0
1442084600,6,0
1442088205,2,0
1442090095,2,0
1442095400,2,0
1442097907,2,0
1442102603,3,0
1442105899,2,0
