DateTime,Entries,UniqueIPs
1440032592,1006,1006
1440036191,1005,1005
1440037534,1004,1004
1440043388,1004,1004
1440045283,1003,1003
1440050586,1002,1002
1440052289,1004,1004
1440057786,1003,1003
1440059071,1006,1006
1440064925,1009,1009
1440066452,1011,1011
1440068583,1009,1009
1440072183,1011,1011
1440075803,1011,1011
1440079381,1010,1010
1440082981,1010,1010
1440084507,1013,1013
1440090179,1011,1011
1440093777,1012,1012
1440095125,1014,1014
1440100975,1017,1017
1440104579,1017,1017
1440108174,1017,1017
1440111774,1018,1018
1440113303,1018,1018
1440118972,1020,1020
1440122572,1018,1018
1440123857,1017,1017
1440129769,1018,1018
1440131299,1018,1018
1440136968,1017,1017
1440138691,1017,1017
1440144227,1019,1019
1440145754,1020,1020
1440151367,1009,1009
1440154967,1011,1011
1440156372,1012,1012
1440158563,1012,1012
1440162161,1013,1013
1440165827,1013,1013
1440169359,1012,1012
1440172959,1012,1012
1440174486,1011,1011
1440180217,1007,1007
1440183819,1008,1008
1440185164,1007,1007
1440191042,1004,1004
1440192422,1007,1007
1440198212,1008,1008
1440201816,1005,1005
1440205350,1008,1008
1440208949,1006,1006
1440210294,1007,1007
1440216148,1006,1006
1440217676,1005,1005
1440223407,1003,1003
1440225065,1006,1006
1440227005,1002,1002
1440230606,1002,1002
1440232135,1002,1002
1440237804,1001,1001
1440241404,1001,1001
1440242747,1003,1003
1440245002,1000,1000
1440248602,997,997
1440250800,999,999
1440252281,998,998
1440255800,1001,1001
1440259399,998,998
1440260745,1000,1000
1440262997,999,999
1440266596,1003,1003
1440270140,1002,1002
1440273795,1002,1002
1440277393,1005,1005
1440278920,1005,1005
1440284591,1006,1006
1440288191,1005,1005
1440289538,1007,1007
1440291788,1006,1006
1440295389,1007,1007
1440298932,1007,1007
1440302587,1008,1008
1440306186,1009,1009
1440307713,1009,1009
1440311463,1008,1008
1440316983,1007,1007
1440318509,1007,1007
1440320582,1004,1004
1440324181,1005,1005
1440327781,1010,1010
1440329128,1010,1010
1440334980,1010,1010
1440338096,1009,1009
1440342179,1007,1007
1440345777,1009,1009
1440347733,1010,1010
1440352975,1012,1012
1440356615,1006,1006
1440357984,1005,1005
1440363773,1006,1006
1440365303,1006,1006
1440370972,1004,1004
1440374569,1002,1002
1440375976,1002,1002
1440381769,1003,1003
1440385388,1003,1003
1440388966,1004,1004
1440392572,1002,1002
1440394031,1004,1004
1440396165,1002,1002
1440397904,1003,1003
1440399847,999,999
1440403365,999,999
1440404892,1003,1003
1440410563,1010,1010
1440414226,1007,1007
1440415631,1008,1008
1440417782,1007,1007
1440421421,1008,1008
1440424965,1009,1009
1440428559,1008,1008
1440432156,1008,1008
1440433686,1007,1007
1440439417,1007,1007
1440442410,1014,1014
1440446555,1012,1012
1440450156,1015,1015
1440451807,1015,1015
1440453813,1014,1014
1440457412,1016,1016
