DateTime,Entries,UniqueIPs
1439372523,23,23
1439379723,22,22
1439386923,23,23
1439394124,24,24
1439397723,27,27
1439401323,29,29
1439404923,28,28
1439408524,27,27
1439412123,26,26
1439419621,26,26
1439430723,23,23
1439434323,18,18
1439437924,16,16
1439441523,17,17
1439445124,15,15
1439452324,17,17
1439455923,19,19
1439459524,20,20
1439466723,21,21
1439470324,20,20
1439473923,21,21
1439477524,20,20
1439481123,20,20
1439484723,17,17
1439488323,15,15
1439506323,14,14
1439509924,15,15
1439517124,16,16
1439520723,17,17
1439524323,16,16
1439527924,16,16
1439531524,17,17
1439535123,18,18
1439538723,17,17
1439542324,16,16
1439545923,16,16
1439549523,18,18
1439553124,17,17
1439556723,18,18
1439567523,16,16
1439571123,16,16
1439574723,17,17
1439585524,16,16
1439589124,15,15
1439592723,16,16
1439607123,15,15
1439617924,15,15
1439621523,15,15
1439628723,14,14
1439632323,11,11
1439635924,8,8
1439639821,7,7
1439647021,5,5
1439647021,5,5
1439650621,6,6
1439657821,4,4
1439665022,5,5
1439679422,5,5
1439704622,4,4
1439708222,3,3
1439719021,4,4
1439752022,3,3
1439763123,4,4
1439767022,4,4
1439775124,3,3
1439782324,4,4
1439785924,5,5
1439789523,7,7
1439800323,8,8
1439804222,10,10
1439808123,10,10
1439811724,11,11
1439815323,16,16
1439818923,22,22
1439822523,24,24
1439826123,27,27
1439829723,28,28
1439840523,30,30
1439844123,31,31
1439847724,33,33
1439851323,31,31
1439858523,32,32
1439862123,35,35
1439869323,34,34
1439872923,35,35
1439876524,34,34
1439883723,35,35
1439890923,41,41
1439898123,40,40
1439901723,34,34
1439905323,29,29
1439908924,27,27
1439912523,26,26
1439916123,25,25
1439919723,26,26
1439927221,25,25
1439931123,23,23
1439935323,21,21
1439943422,20,20
1439947622,19,19
1439951524,19,19
1439959022,19,19
1439966523,20,20
1439970123,19,19
1439973723,20,20
1439977323,15,15
1439980923,34,34
1439984524,47,47
1439988123,49,49
1439991723,56,56
1439995323,57,57
1439998924,57,57
1440006123,56,56
1440009723,69,69
1440013323,71,71
1440016924,72,72
1440020523,74,74
1440024124,75,75
1440031324,75,75
1440034924,75,75
1440038523,76,76
1440042123,75,75
1440045723,76,76
1440049324,77,77
1440052924,75,75
1440056523,76,76
1440060123,77,77
1440063723,76,76
1440067324,56,56
1440070924,45,45
1440074523,45,45
1440078123,40,40
1440081723,39,39
1440085323,40,40
1440088923,43,43
1440096421,28,28
1440100323,26,26
1440107523,24,24
1440111123,23,23
1440114724,24,24
1440118323,23,23
1440121923,22,22
1440125523,21,21
1440132724,22,22
1440136323,20,20
1440139923,22,22
1440143523,18,18
1440150723,17,17
1440154323,16,16
1440158523,17,17
1440158523,17,17
1440162422,16,16
1440166022,16,16
1440173221,13,13
1440176821,11,11
1440180422,12,12
1440187622,14,14
1440198422,13,13
1440202021,12,12
1440205621,11,11
1440212822,12,12
1440220022,10,10
1440223622,10,10
1440227221,8,8
1440230821,8,8
1440241621,10,10
1440245222,9,9
1440252421,8,8
1440266822,7,7
1440274021,5,5
1440288421,7,7
1440299222,9,9
1440302822,8,8
1440306421,9,9
1440310021,8,8
1440324422,7,7
1440328021,5,5
1440335222,7,7
1440338822,9,9
1440349622,10,10
1440353222,9,9
1440364022,11,11
1440374821,11,11
1440378422,12,12
1440382022,12,12
1440385622,12,12
1440389221,13,13
1440392822,13,13
1440403622,15,15
1440407821,17,17
1440411422,18,18
1440415021,19,19
1440422222,185,185
1440425822,185,185
1440429422,184,184
1440433022,184,184
1440436622,186,186
1440451022,185,185
1440458222,186,186
1440465422,185,185
1440469022,187,187
1440473222,185,185
1440480724,185,185
1440488524,187,187
1440492124,186,186
1440495724,184,184
1440499324,184,184
1440502924,183,183
1440506524,183,183
1440510123,16,16
1440513724,85,85
1440517324,180,180
1440520924,194,194
1440524524,213,213
1440528124,216,216
1440531724,228,228
1440535324,250,250
1440538924,256,256
1440542524,282,282
1440546124,312,312
1440549724,316,316
1440553324,317,317
1440557524,319,319
1440561124,324,324
1440564724,323,323
1440568324,324,324
1440571925,348,348
1440575525,370,370
1440579125,380,380
1440582724,397,397
1440586324,418,418
1440589924,429,429
1440593525,431,431
1440597124,427,427
1440600724,316,316
1440604324,274,274
1440607924,263,263
1440611524,252,252
1440615124,250,250
1440618724,241,241
1440622324,227,227
1440625924,225,225
1440629523,198,198
1440633123,171,171
1440636724,169,169
1440640323,167,167
1440643924,163,163
1440647523,158,158
1440651124,155,155
1440654723,154,154
1440658323,127,127
1440661924,96,96
1440665524,85,85
1440669124,65,65
1440669124,65,65
1440672723,40,40
1440676323,21,21
