DateTime,AddedIPs,RemovedIPs
1434736455,14,0
1434810976,8,0
1434900428,16,0
1434992408,17,0
1435082056,15,0
1435156628,8,0
1435246035,19,0
1435335516,15,0
1435424960,24,0
1435514427,26,1
1435589153,12,0
1435678599,17,0
1435768030,13,0
1435857498,13,0
1435946953,10,0
1436021711,14,0
1436111107,19,0
1436200585,14,0
1436290611,9,0
1436379625,18,0
1436454010,6,0
1436543658,8,0
1436628442,18,0
1436717903,17,0
1436806806,16,0
1436896473,14,0
1436971061,19,0
1437060425,5,0
1437149891,12,0
1437239414,14,0
1437328806,12,1
1437403527,9,0
1437492995,9,0
1437582438,8,0
1437675500,16,0
1437750027,11,0
1437839663,6,0
1437929109,9,0
1438018619,3,0
1438108027,6,0
1438182572,5,0
1438272014,14,0
1438361655,9,0
1438451111,19,0
1438525625,18,0
1438615119,26,0
1438704556,13,0
1438793841,14,0
1438948647,19,0
1438963227,6,0
1439052855,17,0
1439132935,6,0
1439222971,11,0
1439313521,6,0
1439402760,16,0
1439477121,13,0
1439566584,18,1
1439641115,0,0
1439656037,9,0
1439744957,11,0
1439834056,10,0
1439908597,10,0
1439997790,7,0
1440086969,15,0
1440161392,0,0
1440176048,10,0
1440265584,11,0
1440340232,16,0
1440429500,14,0
1440518968,10,0
1440608431,12,0
1440668059,0,0
1440697534,3,0
1440772043,16,0
1440862037,19,0
1440951554,5,0
1441041101,7,0
1441130431,15,0
1441205119,22,0
1441294578,15,0
1441383497,9,0
1441473020,10,0
1441562460,18,0
1441637186,10,0
1441725733,8,0
1441814952,13,0
1441904427,17,0
1441994053,15,0
1442069146,9,0
1442158855,5,0
1442248055,6,0
1442338067,11,0
