DateTime,AddedIPs,RemovedIPs
1438551182,5,9
1438558381,9,9
1438561981,7,7
1438569181,5,7
1438576381,9,9
1438579981,4,4
1438587181,6,7
1438590781,6,5
1438597982,6,6
1438601581,8,6
1438608782,6,5
1438612381,10,10
1438619581,9,9
1438623181,10,9
1438630381,5,6
1438633981,5,5
1438641181,8,7
1438648381,10,12
1438655581,9,9
1438662781,10,8
1438669981,10,8
1438677181,13,14
1438684381,12,13
1438691581,4,4
1438698781,9,11
1438702381,7,8
1438709582,10,9
1438716781,14,11
1438723981,9,11
1438731181,10,9
1438741982,11,13
1438745581,4,5
1438752781,13,14
1438759981,7,7
1438767181,9,7
1438774381,16,16
1438781581,13,12
1438788781,4,8
1438795981,9,12
1438803181,6,6
1438947181,36,30
1438954382,9,8
1438957982,7,6
1438965181,8,8
1438972381,8,10
1438979581,16,11
1438986781,9,16
1438993981,14,13
1439001181,9,7
1439008381,4,5
1439015581,8,7
1439022782,11,10
1439029981,10,12
1439037181,12,7
1439044381,10,13
1439051582,13,11
1439055182,10,10
1439058781,7,9
1439065981,6,7
1439073181,18,19
1439080381,7,10
1439087581,6,4
1439094781,7,5
1439101981,9,12
1439112782,12,13
1439119982,6,5
1439130781,3,5
1439137981,10,11
1439145181,8,8
1439148781,11,9
1439155981,6,4
1439163182,8,6
1439166782,7,7
1439173982,7,8
1439181182,7,7
1439188381,8,5
1439192439,14,17
1439202781,12,10
1439209982,6,7
1439217181,14,11
1439224381,12,13
1439231582,13,16
1439238781,9,8
1439245981,9,9
1439249581,11,10
1439256781,7,6
1439263982,10,10
1439271181,6,7
1439278381,11,7
1439285582,10,10
1439292781,9,11
1439299982,10,9
1439307182,12,12
1439314382,9,12
1439321582,7,10
1439328781,4,5
1439335982,12,12
1439343181,9,8
1439350381,9,10
1439353981,5,3
1439361182,12,11
1439368381,11,10
1439375582,7,6
1439382781,12,8
1439389981,10,10
1439397181,6,9
1439404382,8,10
1439415182,10,8
1439422381,12,21
1439429581,7,8
1439436782,6,5
1439443981,14,13
1439451181,12,9
1439458382,7,8
1439465581,9,5
1439472781,6,7
1439479981,8,5
1439487181,13,12
1439494381,9,13
1439501581,13,13
1439508781,12,11
1439515981,6,8
1439523181,9,8
1439530381,9,7
1439537582,7,9
1439544781,13,13
1439551981,10,10
1439559181,7,6
1439566381,12,11
1439573582,6,8
1439580781,8,7
1439587981,9,10
1439598781,14,13
1439605981,5,8
1439613182,6,6
1439620381,5,5
1439627581,14,10
1439638381,3,8
1439645581,10,7
1439649181,0,0
1439652781,5,7
1439659981,5,5
1439667181,14,13
1439674381,11,9
1439681581,14,12
1439688781,10,10
1439695982,10,11
1439706781,10,10
1439713981,16,15
1439724781,6,5
1439731981,8,8
1439739181,5,8
1439742781,8,8
1439749981,10,10
1439757182,10,10
1439764381,12,13
1439771581,8,8
1439778782,6,6
1439789582,13,11
1439796781,11,10
1439807581,9,11
1439814781,9,11
1439821981,10,7
1439829181,12,16
1439836381,9,7
1439843582,6,4
1439850781,8,8
1439854840,13,17
1439865182,6,7
1439872381,8,7
1439879581,14,10
1439886781,4,4
1439893981,10,10
1439901181,6,5
1439908381,9,10
1439915581,10,10
1439922781,15,15
1439929981,11,13
1439937181,5,5
1439944381,10,11
1439951582,11,12
1439958781,8,8
1439969582,21,17
1439976781,11,11
1439983981,6,9
1439991181,15,10
1439998381,7,8
1440005581,7,11
1440012781,9,7
1440019981,13,12
1440023581,5,5
1440030782,4,5
1440037981,5,6
1440041581,11,9
1440052382,10,11
1440059581,14,12
1440066781,13,12
1440073981,6,7
1440081181,14,14
1440088381,7,9
1440095581,10,11
1440102782,6,7
1440109982,12,12
