DateTime,Entries,UniqueIPs
1438540381,61,61
1438547581,62,62
1438551182,58,58
1438558381,58,58
1438561981,58,58
1438569181,56,56
1438576381,56,56
1438579981,56,56
1438587181,55,55
1438590781,56,56
1438597982,56,56
1438601581,58,58
1438608782,59,59
1438612381,59,59
1438619581,59,59
1438623181,60,60
1438630381,59,59
1438633981,59,59
1438641181,60,60
1438648381,58,58
1438655581,58,58
1438662781,60,60
1438669981,62,62
1438677181,61,61
1438684381,60,60
1438691581,60,60
1438698781,58,58
1438702381,57,57
1438709582,58,58
1438716781,61,61
1438723981,59,59
1438731181,60,60
1438741982,58,58
1438745581,57,57
1438752781,56,56
1438759981,56,56
1438767181,58,58
1438774381,58,58
1438781581,59,59
1438788781,55,55
1438795981,52,52
1438803181,52,52
1438947181,58,58
1438954382,59,59
1438957982,60,60
1438965181,60,60
1438972381,58,58
1438979581,63,63
1438986781,56,56
1438993981,57,57
1439001181,59,59
1439008381,58,58
1439015581,59,59
1439022782,60,60
1439029981,58,58
1439037181,63,63
1439044381,60,60
1439051582,62,62
1439055182,62,62
1439058781,60,60
1439065981,59,59
1439073181,58,58
1439080381,55,55
1439087581,57,57
1439094781,59,59
1439101981,56,56
1439112782,55,55
1439119982,56,56
1439130781,54,54
1439137981,53,53
1439145181,53,53
1439148781,55,55
1439155981,57,57
1439163182,59,59
1439166782,59,59
1439173982,58,58
1439181182,58,58
1439188381,61,61
1439192439,58,58
1439195581,58,58
1439199182,58,58
1439202781,60,60
1439209982,59,59
1439217181,62,62
1439224381,61,61
1439231582,58,58
1439238781,59,59
1439245981,59,59
1439249581,60,60
1439256781,61,61
1439263982,61,61
1439271181,60,60
1439278381,64,64
1439285582,64,64
1439292781,62,62
1439299982,63,63
1439307182,63,63
1439314382,60,60
1439321582,57,57
1439328781,56,56
1439335982,56,56
1439343181,57,57
1439350381,56,56
1439353981,58,58
1439361182,59,59
1439368381,60,60
1439375582,61,61
1439382781,65,65
1439389981,65,65
1439397181,62,62
1439404382,60,60
1439415182,62,62
1439422381,53,53
1439429581,52,52
1439436782,53,53
1439443981,54,54
1439451181,57,57
1439458382,56,56
1439465581,60,60
1439472781,59,59
1439479981,62,62
1439487181,63,63
1439494381,59,59
