DateTime,AddedIPs,RemovedIPs
1435674977,1,1
1435689372,0,1
1435732573,1,0
1435734552,0,1
1435742827,1,0
1435755266,1,2
1435784062,1,0
1435831216,0,222
1435835354,222,0
1435837510,1,1
1435858030,0,1
1436165650,0,1
1436173750,2,0
1436177898,0,1
1436180055,1,0
1436252052,1,0
1436254029,0,1
1436264293,2,1
1436274550,1,2
1436280854,2,3
1436295252,2,0
1436338453,0,1
1436348713,0,1
1436350699,1,1
1436356816,1,1
1436358971,1,1
1436369228,0,1
1436373375,1,0
1436379611,1,1
1436381655,1,1
1436430970,0,1
1436432949,1,2
1436435112,1,2
1436437099,1,0
1436441228,0,1
1436447351,1,1
1436472012,1,0
1436474180,0,1
1436517374,1,7
1436529614,1,1
1436535911,1,1
1436554462,1,1
1436698813,1,1
1436783231,0,1
1436785215,2,0
1436795652,1,0
1436797629,1,0
1436807895,1,1
1436816189,0,1
1436855228,1,0
1436865494,1,0
1436867655,1,1
1436871615,0,1
1436873781,3,1
1436884030,1,1
1436912832,0,1
1436956028,1,2
1437003379,1,2
1437030011,1,0
1437042428,1,1
1437065110,1,1
1437117491,1,0
1437247761,1,0
1437311896,1,2
1437328452,1,1
1437412695,1,0
1437418814,1,0
1437422948,0,1
1437509351,1,1
1437557224,1,0
1437579910,1,1
1437581891,0,1
1437660737,2,1
1437703759,1,0
1437722296,1,0
1437728410,1,2
1437732739,1,0
1437831376,0,1
1437833360,0,1
1437897616,1,0
1437935776,1,1
1438011912,1,1
1438018028,1,0
1438030455,1,0
1438079778,1,1
1438083911,0,1
1438098315,1,0
1438102451,2,1
1438106413,1,0
1438172823,1,1
1438259223,1,0
1438327098,1,0
1438333209,1,0
1438335377,0,1
1438337357,0,1
1438339510,1,0
1438341495,0,1
1438345628,0,1
1438355897,1,0
1438358060,1,1
1438440314,1,0
1438518431,1,1
1438594575,1,1
1438602857,0,1
1438606810,1,0
1438674856,1,0
1438678813,0,1
1438682960,1,1
1438685113,0,1
1438691227,1,0
1438715901,1,1
1438728851,0,1
1438772056,1,1
1438784301,1,0
1438786454,1,0
1438792575,1,0
1438802828,0,1
1438948489,0,1
1439082022,1,1
1439088319,0,1
1439092460,1,1
1439094428,0,1
1439200148,3,0
1439202427,2,0
1439204418,1,0
1439206581,0,1
1439208556,1,0
1439210719,1,0
1439220985,1,1
1439271918,0,13
1439273906,0,25
1439282192,8,0
1439286323,0,1
1439288304,0,1
1439292428,0,1
1439296590,1,1
1439298546,0,1
1439370546,1,1
1439376849,1,0
1439393225,1,0
1439397389,0,1
1439399347,0,1
1439448847,2,0
1439456946,0,1
1439459106,2,1
1439461105,0,1
1439471347,1,0
1439473517,2,0
1439483789,1,0
1439508424,1,0
1439545520,1,1
1439551623,1,1
1439609224,0,1
1439647131,1,0
1439649365,0,0
1439659626,1,1
1439665747,0,1
1439729650,1,1
1439748005,1,1
1439803625,0,1
1439811905,1,1
1439822170,0,1
1439914705,1,1
1439968706,1,0
1439974823,1,0
1439981125,1,1
1439989223,0,1
1439995522,0,25
1440009912,1,0
1440011892,0,1
1440055091,1,0
1440075617,1,0
1440088030,0,1
1440133211,0,1
1440141489,2,0
1440143646,2,0
1440145628,0,1
1440151751,1,0
1440153914,0,1
1440155893,1,0
1440158434,0,2
1440160575,0,0
1440212055,1,0
1440240845,4,0
1440242831,0,1
1440244814,0,1
1440331213,1,0
1440401234,1,0
1440403217,1,1
1440410048,1,1
1440412032,1,0
1440414015,0,1
1440469633,1,0
1440471617,0,1
1440502571,0,1
1440535528,1,0
1440570975,1,0
1440577122,25,0
1440579248,0,25
1440589513,1,1
1440591504,0,1
1440668510,0,0
1440750430,1,0
1440768974,1,0
1440770967,0,1
1440773120,1,0
1440775094,1,1
1440789492,1,0
1440791649,0,1
1440829629,1,0
1440831610,0,1
1440844026,1,0
1440858426,2,0
1440860413,3,2
1440862565,0,3
1440866725,3,0
1440868691,4,3
1440870844,1,4
1440872830,1,1
1440874809,1,1
1440876974,2,1
1440878946,2,2
1440881133,0,2
1440885245,1,0
1440887235,2,1
