DateTime,Entries,UniqueIPs
1435784062,222,222
1435831216,0,0
1435835354,222,222
1435837510,222,222
1435858030,221,221
1436165650,220,220
1436173750,222,222
1436177898,221,221
1436180055,222,222
1436252052,223,223
1436254029,222,222
1436264293,223,223
1436274550,222,222
1436280854,221,221
1436295252,223,223
1436338453,222,222
1436348713,221,221
1436350699,221,221
1436356816,221,221
1436358971,221,221
1436369228,220,220
1436373375,221,221
1436379611,221,221
1436381655,221,221
1436430970,220,220
1436432949,219,219
1436435112,218,218
1436437099,219,219
1436441228,218,218
1436447351,218,218
1436472012,219,219
1436474180,218,218
1436517374,212,212
1436529614,212,212
1436535911,212,212
1436554462,212,212
1436698813,212,212
1436783231,211,211
1436785215,213,213
1436795652,214,214
1436797629,215,215
1436807895,215,215
1436816189,214,214
1436855228,215,215
1436865494,216,216
1436867655,216,216
1436871615,215,215
1436873781,217,217
1436884030,217,217
1436912832,216,216
1436956028,215,215
1437003379,214,214
1437030011,215,215
1437042428,215,215
1437065110,215,215
1437117491,216,216
1437247761,217,217
1437311896,216,216
1437328452,216,216
1437412695,217,217
1437418814,218,218
1437422948,217,217
1437509351,217,217
1437557224,218,218
1437579910,218,218
1437581891,217,217
1437660737,218,218
1437703759,219,219
1437722296,220,220
1437728410,219,219
1437732739,220,220
1437831376,219,219
1437833360,218,218
1437897616,219,219
1437935776,219,219
1438011912,219,219
1438018028,220,220
1438030455,221,221
1438079778,221,221
1438083911,220,220
1438098315,221,221
1438102451,222,222
1438106413,223,223
1438172823,223,223
1438259223,224,224
1438327098,225,225
1438333209,226,226
1438335377,225,225
1438337357,224,224
1438339510,225,225
1438341495,224,224
1438345628,223,223
1438355897,224,224
1438358060,224,224
1438440314,225,225
1438518431,225,225
1438594575,225,225
1438602857,224,224
1438606810,225,225
1438674856,226,226
1438678813,225,225
1438682960,225,225
1438685113,224,224
1438691227,225,225
1438715901,225,225
1438728851,224,224
1438772056,224,224
1438784301,225,225
1438786454,226,226
1438792575,227,227
1438802828,226,226
1438948489,225,225
1439082022,225,225
1439088319,224,224
1439092460,224,224
1439094428,223,223
1439193365,223,223
1439195758,223,223
1439200148,226,226
1439202427,228,228
1439204418,229,229
1439206581,228,228
1439208556,229,229
1439210719,230,230
1439220985,230,230
1439238799,230,230
1439271918,217,217
1439273906,192,192
1439282192,200,200
1439286323,199,199
1439288304,198,198
1439292428,197,197
1439296590,197,197
1439298546,196,196
1439370546,196,196
1439376849,197,197
1439393225,198,198
1439397389,197,197
1439399347,196,196
1439448847,198,198
1439456946,197,197
1439459106,198,198
1439461105,197,197
1439471347,198,198
1439473517,200,200
1439483789,201,201
1439508424,202,202
1439545520,202,202
1439551623,202,202
1439609224,201,201
1439647131,202,202
1439649365,202,202
1439659626,202,202
1439665747,201,201
1439729650,201,201
1439748005,201,201
1439803625,200,200
1439811905,200,200
1439822170,199,199
1439914705,199,199
1439968706,200,200
1439974823,201,201
1439981125,201,201
1439989223,200,200
