DateTime,AddedIPs,RemovedIPs
1434707022,2,1
1434708618,0,2
1434710020,2,0
1434713810,0,1
1434719634,3,1
1434726418,2,0
1434798188,1,1
1434800500,1,1
1434801696,1,1
1434803487,1,1
1434807098,1,1
1434808927,1,1
1434809904,1,1
1434812489,1,1
1434814286,1,1
1434816623,1,0
1434818287,1,1
1434821690,1,1
1434828882,1,1
1434839655,1,1
1434841369,1,1
1434846826,1,1
1434848588,1,1
1434850388,1,1
1434852215,1,1
1434862967,1,1
1434864808,1,1
1434868388,1,1
1434870249,2,1
1434871996,1,2
1434873831,2,1
1434881616,3,1
1434885068,0,2
1434888031,3,1
1434889893,1,1
1434894009,1,2
1434897709,1,2
1434899667,2,1
1434904569,1,1
1434915387,2,1
1434922580,2,2
1434929793,2,2
1434937350,2,1
1434944516,1,3
1434948087,3,1
1434951790,1,3
1434960476,3,1
1434962179,1,3
1434964032,2,2
1434966650,0,1
1434967675,1,1
1434975856,3,2
1434978506,2,2
1434981864,2,2
1434985543,0,1
1434989000,3,2
1434992573,1,3
1435003373,1,1
1435010615,2,1
1435014133,1,2
1435037448,1,0
1435050207,2,2
1435052129,3,1
1435052848,0,2
1435061452,0,1
1435064345,1,1
1435072051,2,0
1435139215,2,3
1435142338,1,1
1435147329,0,1
1435156727,1,1
1435172533,1,0
1435200029,0,1
1435203766,1,1
1435223788,4,2
1435224613,0,1
1435226423,1,1
1435235434,3,0
1435248109,0,1
1435258842,0,17
1435267822,0,1
1435305991,1,0
1435307581,0,2
1435311580,1,0
1435313801,1,1
1435322742,0,1
1435323777,2,1
1435329257,1,0
1435400476,1,1
1435403284,1,1
1435417900,2,2
1435418393,1,0
1435421316,0,1
1435436556,1,0
1435490077,0,1
1435493494,0,1
1435496923,2,1
1435564760,3,0
1435571697,3,0
1435573101,1,1
1435574152,0,1
1435579326,0,1
1435580600,0,1
1435584864,1,0
1435585407,1,1
1435587405,0,1
1435588719,1,0
1435593007,2,1
1435649935,1,1
1435656770,1,3
1435661883,1,0
1435664153,1,1
1435667543,0,1
1435671279,1,0
1435673007,1,1
1435674056,0,1
1435680638,1,0
1435741369,2,0
1435744789,0,1
1435749886,1,0
1435754006,1,3
1435782686,1,0
1435831743,0,228
1436280004,228,0
1436348494,2,4
1436350376,1,1
1436356541,1,1
1436358333,1,1
1436367979,0,1
1436372644,1,0
1436378025,1,1
1436380204,1,1
1436410833,0,3
1436433323,2,3
1436434549,2,3
1436439184,1,0
1436440981,0,1
1436442217,0,1
1436445882,1,1
1436454638,2,0
1436457662,0,1
1436470331,1,1
1436516812,0,8
1436517194,1,0
1436519903,1,0
1436524156,1,1
1436528209,1,0
1436529079,0,1
1436535494,1,1
1436553276,1,1
1436557492,0,1
1436612857,1,0
1436635367,0,1
1436698359,1,1
1436797486,5,1
1436800443,1,1
1436805970,2,1
1436815450,0,1
1436864652,2,1
1436866661,1,1
1436869771,0,1
1436881062,3,1
1436883267,1,1
1436885203,1,1
1436911720,0,1
1436954632,1,1
1436957469,0,1
1436960223,0,1
1436972244,1,0
1436984864,0,1
1437002873,1,2
1437036143,1,0
1437040867,1,1
1437042496,1,1
1437064269,1,1
1437065485,1,1
1437135826,1,0
1437244558,1,0
1437311089,1,2
1437328393,1,1
1437369693,1,0
1437411608,1,1
1437417004,1,0
1437427276,0,1
1437438293,0,1
1437476723,1,0
1437505118,1,1
1437509309,1,1
1437557536,1,0
1437577876,1,1
1437581177,0,1
1437655593,3,2
1437702722,1,0
1437726455,2,1
1437728309,1,1
1437732714,2,0
1437735515,1,0
1437737403,1,1
1437739204,1,1
1437742805,1,1
1437748204,2,1
1437757203,1,1
1437759003,1,1
1437760803,1,1
1437764403,1,1
1437766204,1,1
1437769803,1,1
1437771604,1,1
1437775204,1,1
1437777003,1,1
1437778803,1,1
1437780603,1,1
1437782405,1,1
1437823019,1,1
1437830902,0,1
1437832631,0,1
1437909126,1,0
1437918966,1,0
1437933362,0,1
1437935702,2,2
1438011642,1,2
1438016586,1,0
1438078205,1,1
1438082887,0,1
1438085891,1,0
1438100256,1,1
1438101678,2,1
1438105404,1,0
1438171188,1,1
1438176550,0,1
1438179701,1,1
1438180172,1,0
1438260065,1,0
1438329645,1,0
1438333427,1,1
1438337068,0,1
1438345403,0,1
1438354932,1,0
1438356790,2,2
1438426411,1,1
1438439332,1,0
1438517128,1,1
1438593165,3,2
1438601566,0,1
1438641165,1,0
1438680544,1,1
1438682476,2,3
1438691985,1,0
1438714708,2,2
1438726902,0,1
1438771050,1,1
1438783547,1,0
1438801400,1,0
1438947870,0,1
1439080222,0,1
1439082007,1,1
1439086255,0,1
1439091574,1,1
1439094052,0,1
1439179763,0,3
1439203148,10,0
1439204828,1,1
1439206352,0,2
1439208505,1,0
1439209826,1,0
1439214966,0,1
1439220729,1,1
1439268123,0,1
1439271690,0,33
1439283188,9,6
1439285937,0,1
1439288214,1,1
1439291903,0,1
1439295933,2,1
1439298038,0,2
1439302095,0,1
1439366827,1,0
1439369101,2,1
1439375644,1,0
1439396789,1,1
1439398511,0,1
1439451026,2,0
1439452828,0,1
1439454613,1,0
1439456680,1,2
1439458208,2,1
1439461847,0,1
1439463650,0,1
1439464680,1,0
1439476379,5,1
1439481828,1,1
1439508103,1,0
1439541691,1,1
1439545643,1,1
1439549261,1,0
1439551152,0,1
1439568493,1,1
1439607603,0,1
1439636912,2,1
1439644590,1,0
1439659392,1,1
1439664604,0,1
1439728411,1,1
1439746859,1,2
1439809295,0,3
1439810542,1,1
1439820440,0,1
1439908642,1,1
1439914029,1,1
1439977057,2,1
1439980994,1,1
1439987621,1,1
1439997300,1,1
1440006243,2,1
1440061138,2,1
1440084089,2,1
1440087352,1,1
1440131609,1,1
1440135139,1,1
1440138736,2,1
1440142507,5,2
1440144255,1,1
1440147979,0,1
1440149666,1,1
1440151682,2,1
1440158233,3,3
1440160165,0,0
1440167542,0,1
1440168480,1,1
1440170111,1,1
1440181494,1,1
1440183620,1,1
1440198266,0,1
1440244215,5,1
1440251740,1,1
1440254102,1,1
1440258585,0,1
1440311417,0,1
1440313252,2,0
1440315076,0,2
1440325827,1,0
1440405329,2,0
1440408536,1,2
1440412787,2,2
1440418153,1,0
1440500568,0,2
1440507968,1,1
1440513675,0,1
1440589322,1,1
1440669634,0,0
1440675659,1,1
1440681048,1,0
1440705086,1,1
1440717104,0,1
1440757863,2,0
1440759009,1,1
1440766152,1,1
1440781529,2,0
1440843053,1,1
1440932315,4,1
1440940193,1,1
1440942964,1,0
1440975633,1,0
1440982830,0,0
1441011911,2,1
1441020382,1,1
1441053086,1,1
1441102401,2,2
1441109356,1,1
1441110916,1,0
1441112879,2,2
1441114455,1,1
1441130921,0,2
1441132585,1,2
1441139520,1,1
1441204217,0,1
1441263624,1,0
1441274382,1,2
1441276531,2,0
1441284088,1,1
1441359822,1,0
1441364461,1,0
1441369876,1,0
1441371601,0,1
1441374721,1,0
1441389644,0,1
1441457313,1,1
1441465033,0,1
1441469079,0,1
1441499405,1,0
1441501234,0,1
1441539858,1,0
1441542760,0,1
1441567807,1,0
1441569636,0,1
1441616417,3,0
1441617007,1,1
1441618807,1,1
1441626107,1,0
1441629695,0,1
1441630971,2,0
1441704388,1,1
1441705994,1,1
1441707789,1,1
1441712726,1,0
1441791801,1,0
1441797587,1,0
1441800188,1,1
1441870517,2,1
1441881085,2,2
1441882753,0,1
1441897413,1,1
1441945856,0,1
1441953093,1,0
1441965666,0,1
1441968824,1,1
1442052015,2,12
1442053840,1,2
1442055631,1,2
1442056679,1,1
1442059239,1,1
1442064631,1,1
1442066436,1,1
1442068228,1,1
1442071918,1,1
1442073623,1,2
1442075431,2,1
1442077224,1,1
1442089827,1,1
1442091674,1,1
1442093451,1,1
1442104221,1,1
1442113227,1,1
1442115140,0,1
1442120417,1,1
1442124034,1,1
1442127626,1,1
1442129439,1,1
1442131247,1,1
1442134826,1,1
1442136683,2,1
1442138445,2,2
1442140255,1,1
1442144582,3,3
1442146013,1,1
1442147454,1,1
1442153800,1,1
1442155637,2,1
1442156454,1,1
1442158316,1,1
1442160050,1,1
1442161845,1,1
1442167360,1,1
1442169041,1,1
1442170845,1,2
1442172713,2,0
1442174447,1,3
1442176240,1,1
1442185232,1,1
1442187042,1,1
1442188831,1,1
1442190638,1,1
1442192429,1,1
1442199634,1,1
1442201490,1,1
1442205023,1,1
1442208646,0,1
1442220331,0,1
1442221496,1,0
1442222543,1,1
1442227759,1,1
1442266262,1,0
1442307857,3,2
1442314761,1,1
1442395883,1,1
1442397632,0,1
1442407961,0,1
