DateTime,Entries,UniqueIPs
1434388460,234,234
1434442441,233,233
1434447261,234,234
1434459961,233,233
1434475787,233,233
1434477695,233,233
1434537793,235,235
1434539313,236,236
1434540724,235,235
1434544540,236,236
1434547829,232,232
1434549903,233,233
1434558558,232,232
1434559618,232,232
1434616423,233,233
1434623888,233,233
1434642049,232,232
1434642049,232,232
1434657168,232,232
1434707022,233,233
1434708618,231,231
1434710020,233,233
1434713810,232,232
1434719634,234,234
1434726418,236,236
1434798188,236,236
1434800500,236,236
1434801696,236,236
1434803487,236,236
1434807098,236,236
1434808927,236,236
1434809904,236,236
1434812489,236,236
1434814286,236,236
1434816623,237,237
1434818287,237,237
1434821690,237,237
1434828882,237,237
1434839655,237,237
1434841369,237,237
1434846826,237,237
1434848588,237,237
1434850388,237,237
1434852215,237,237
1434862967,237,237
1434864808,237,237
1434868388,237,237
1434870249,238,238
1434871996,237,237
1434873831,238,238
1434881616,240,240
1434885068,238,238
1434888031,240,240
1434889893,240,240
1434894009,239,239
1434897709,238,238
1434899667,239,239
1434904569,239,239
1434915387,240,240
1434922580,240,240
1434929793,240,240
1434937350,241,241
1434944516,239,239
1434948087,241,241
1434951790,239,239
1434960476,241,241
1434962179,239,239
1434964032,239,239
1434966650,238,238
1434967675,238,238
1434975856,239,239
1434978506,239,239
1434981864,239,239
1434985543,238,238
1434989000,239,239
1434992573,237,237
1435003373,237,237
1435010615,238,238
1435014133,237,237
1435037448,238,238
1435050207,238,238
1435052129,240,240
1435052848,238,238
1435061452,237,237
1435064345,237,237
1435072051,239,239
1435139215,238,238
1435142338,238,238
1435147329,237,237
1435156727,237,237
1435172533,238,238
1435200029,237,237
1435203766,237,237
1435223788,239,239
1435224613,238,238
1435226423,238,238
1435235434,241,241
1435248109,240,240
1435258842,223,223
1435267822,222,222
1435305991,223,223
1435307581,221,221
1435311580,222,222
1435313801,222,222
1435322742,221,221
1435323777,222,222
1435329257,223,223
1435400476,223,223
1435403284,223,223
1435417900,223,223
1435418393,224,224
1435421316,223,223
1435436556,224,224
1435490077,223,223
1435493494,222,222
1435496923,223,223
1435564760,226,226
1435571697,229,229
1435573101,229,229
1435574152,228,228
1435579326,227,227
1435580600,226,226
1435584864,227,227
1435585407,227,227
1435587405,226,226
1435588719,227,227
1435593007,228,228
1435649935,228,228
1435656770,226,226
1435661883,227,227
1435664153,227,227
1435667543,226,226
1435671279,227,227
1435673007,227,227
1435674056,226,226
1435680638,227,227
1435741369,229,229
1435744789,228,228
1435749886,229,229
1435754006,227,227
1435782686,228,228
1435831743,0,0
1436280004,228,228
1436348494,226,226
1436350376,226,226
1436356541,226,226
1436358333,226,226
1436367979,225,225
1436372644,226,226
1436378025,226,226
1436380204,226,226
1436410833,223,223
1436433323,222,222
1436434549,221,221
1436439184,222,222
1436440981,221,221
1436442217,220,220
1436445882,220,220
1436454638,222,222
1436457662,221,221
1436470331,221,221
1436516812,213,213
1436517194,214,214
1436519903,215,215
1436524156,215,215
1436528209,216,216
1436529079,215,215
1436535494,215,215
1436553276,215,215
1436557492,214,214
1436612857,215,215
1436635367,214,214
1436698359,214,214
1436797486,218,218
1436800443,218,218
1436805970,219,219
1436815450,218,218
1436864652,219,219
